grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_totflrcnt,gwr_pp_od,gwr_pp_drr,gwr_r2,cbdness,sim,cbdi
24864,-0.7072764657708155,0.9234104717055168,1.9943151493212985,1.5849592826235883,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))",종로구,서울특별시 종로구 신문로1가 135-2번지,126.975434458,37.569945106,953676.7293105968,1952415.560345453,NoData,-0.7772499330957772,-0.758949037715685,-0.4930564200235275,-0.7873917814209903,-0.4291110570314162,-0.3197882539014527,-0.3920168006146727,-0.1090987775748937,1.939880634674432,2.3849684452577717,7,"POLYGON ((953635.230213883 1952365.54807064, 953635.230213883 1952465.54807064, 953735.230213883 1952465.54807064, 953735.230213883 1952365.54807064, 953635.230213883 1952365.54807064))",0.8555254741597559,-2.0518670064834814,0.1483041779367181,0.4220102639519864,-0.2011155957756916,3.127009622799364,0.3176908099215231,0.7722865077957645,0.32699674323344663,0.5888739177740564,0.19255985328723688
24865,-0.7558380391436514,0.8740071276425159,1.908802281173134,1.5068533031695208,"POLYGON ((953635.230213883 1952465.54807064, 953635.230213883 1952565.54807064, 953735.230213883 1952565.54807064, 953735.230213883 1952465.54807064, 953635.230213883 1952465.54807064))",종로구,서울특별시 종로구 당주동 30번지,126.975395146,37.570690211,953673.7192441102,1952498.245527988,NoData,0.8571337186592131,1.073554308082874,2.167576535587898,0.2248479990925387,-0.4291110570314162,-0.3203054302025702,-0.423395069623565,3.564998129092452,2.7966205562204465,-1.4745871843639935,7,"POLYGON ((953635.230213883 1952465.54807064, 953635.230213883 1952565.54807064, 953735.230213883 1952565.54807064, 953735.230213883 1952465.54807064, 953635.230213883 1952465.54807064))",0.7572707461404448,-1.882829035537876,0.1212673640054044,0.3983724704003229,-0.2327210099945737,3.018663982773833,0.3424735306890386,0.7841759882989211,0.8380213891054759,0.5688689984745163,0.476724388320655
24930,-0.8222338566526993,1.1184974757331865,1.973482807019598,1.7643256107994834,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))",종로구,서울특별시 종로구 세종로 211번지,126.97614035,37.569570228,953738.833720072,1952373.6216904093,광화문빌딩,0.8698269369362047,0.393955527752787,1.474550947091892,-0.0703886035572405,1.6604448778196117,-0.3203054302025702,1.373735474547059,2.835605912424377,3.247024675338813,0.4141315280041041,7,"POLYGON ((953735.230213883 1952365.54807064, 953735.230213883 1952465.54807064, 953835.230213883 1952465.54807064, 953835.230213883 1952365.54807064, 953735.230213883 1952365.54807064))",1.2179473071912892,-2.6294157783126217,0.1536757893063877,0.4662437966998606,-0.2485877650960439,3.656965059377949,0.3248270331760503,0.7096006888924292,0.8749032578633875,0.675613734726803,0.5910966575697304
24931,-0.8892785494777727,1.0891556269573917,2.449507050164963,1.6770346199264965,"POLYGON ((953735.230213883 1952465.54807064, 953735.230213883 1952565.54807064, 953835.230213883 1952565.54807064, 953835.230213883 1952465.54807064, 953735.230213883 1952465.54807064))",종로구,서울특별시 종로구 신문로1가 1-1번지,126.976177139,37.570474629,953742.6418654332,1952473.9424948231,"현대해상빌딩, 현대빌딩",0.533071395172187,0.3349485404229143,0.4809257475110352,0.3513779716567299,-0.4291110570314162,0.4837112803416364,0.5504177696580982,0.3484673468005886,2.7804189692018,1.9470046858680667,7,"POLYGON ((953735.230213883 1952465.54807064, 953735.230213883 1952565.54807064, 953835.230213883 1952565.54807064, 953835.230213883 1952465.54807064, 953735.230213883 1952465.54807064))",0.8839450047561505,-2.210818370150223,0.1343710027715401,0.4349220890874553,-0.3051183649595964,3.2698834575501885,0.3992883189507699,0.7408382480781208,0.49175351881244384,0.8114752725570971,0.39904582070923944
24995,-0.9046260155872348,1.2213359695277408,1.6544872365661996,1.9593032343440344,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))",종로구,서울특별시 종로구 서린동 159-1번지,126.978008482,37.56954379,953903.7902118776,1952369.770453883,"동아일보사, 광화문우체국",0.7661724132429447,1.3737585284026108,1.3198039379808149,0.435731286699524,1.6604448778196117,0.2949828234436204,2.78695570666616,2.456874033403975,2.7771786517980708,0.0445996060190415,7,"POLYGON ((953835.230213883 1952365.54807064, 953835.230213883 1952465.54807064, 953935.230213883 1952465.54807064, 953935.230213883 1952365.54807064, 953835.230213883 1952365.54807064))",1.0121160549062598,-2.087192563091948,0.1730498856368558,0.461681451634264,-0.2873224974902054,2.92477020994098,0.3457362468360659,0.6785640976149265,0.7910395470900151,0.6605801664224532,0.5225450356634642
24996,-0.8911789635966266,1.1567940780717885,1.3189236258594734,1.854643142098881,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))",종로구,서울특별시 종로구 종로1가 1번지,126.977983328,37.570986533,953902.4581124366,1952529.848144302,교보생명빌딩,3.3352311284103964,1.9125676245282628,3.262005682515585,0.0561413690069505,6.536075392472011,-0.3203054302025702,3.5448489950979463,3.39189029062729,3.525691972059529,1.07107716708866,7,"POLYGON ((953835.230213883 1952465.54807064, 953835.230213883 1952565.54807064, 953935.230213883 1952565.54807064, 953935.230213883 1952465.54807064, 953835.230213883 1952465.54807064))",0.7142907214535289,-1.75038709137171,0.1525623157811472,0.4346695802396754,-0.3418127596557602,2.594630045701241,0.4443770475562056,0.7082290077571906,0.8911874903920354,0.5013882872496777,0.4468309694260012
25058,-0.9123985288434748,1.2181480834784222,1.789720376683992,2.0491736717175635,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))",종로구,서울특별시 종로구 청진동 246번지,126.97889685,37.571068136,953983.178962097,1952538.453831198,D타워,2.04952572184893,2.369563162384306,3.694521071766432,0.2248479990925387,8.277372004847868,-0.3203054302025702,-0.4230378641421404,3.756820328472767,2.7350545255495904,-1.4745871843639935,3,"POLYGON ((953935.230213883 1952465.54807064, 953935.230213883 1952565.54807064, 954035.230213883 1952565.54807064, 954035.230213883 1952465.54807064, 953935.230213883 1952465.54807064))",0.4802283817210504,-0.7844952206949395,0.1532054770791348,0.4088739789919233,-0.3298956898864471,1.25436190071542,0.476456926031784,0.7174367699728246,0.9026273635752411,0.5011819355629736,0.4523805291687433
25116,-0.9810439633112776,1.428471318162735,1.95887065735498,2.402737378414902,"POLYGON ((954035.230213883 1952365.54807064, 954035.230213883 1952465.54807064, 954135.230213883 1952465.54807064, 954135.230213883 1952365.54807064, 954035.230213883 1952365.54807064))",종로구,서울특별시 종로구 서린동 99번지,126.980303531,37.569690909,954106.5539175208,1952384.9692101,SK서린동빌딩,1.5236290617338313,0.5811607501079167,2.829879371093474,0.6887912318279062,4.794778780096154,1.8361609843601383,2.090129671996255,6.339402134763833,3.175737692456769,-0.1606959061948822,10,"POLYGON ((954035.230213883 1952365.54807064, 954035.230213883 1952465.54807064, 954135.230213883 1952465.54807064, 954135.230213883 1952365.54807064, 954035.230213883 1952365.54807064))",0.4839726113880124,-0.7733227203117832,0.1145275553981464,0.4140447752533236,-0.3012447973403074,1.309771580259994,0.4124326375420595,0.7159994099436718,0.9972230527985492,0.5029582074562261,0.5015615190695838
25117,-0.9712318669815864,1.3322956215898625,2.017659816759938,2.1988483574574085,"POLYGON ((954035.230213883 1952465.54807064, 954035.230213883 1952565.54807064, 954135.230213883 1952565.54807064, 954135.230213883 1952465.54807064, 954035.230213883 1952465.54807064))",종로구,서울특별시 종로구 종로1가 24번지,126.97992357,37.570846289,954073.709480407,1952513.3386587296,"르메이에르종로타운1, Tower 8",3.255259797924047,3.676936725411797,5.210872134318144,1.321441094648862,3.401741490195469,3.6571194968253606,1.564635758135488,3.3217114371954675,2.837124523767062,-1.1461143648217158,10,"POLYGON ((954035.230213883 1952465.54807064, 954035.230213883 1952565.54807064, 954135.230213883 1952565.54807064, 954135.230213883 1952465.54807064, 954035.230213883 1952465.54807064))",0.2799822965704713,-0.1640774334630906,0.1104548323327058,0.3835117328528578,-0.299647297666158,0.4592480997508379,0.5146169792550389,0.7525927759317372,0.8611675547840618,0.5005506337550227,0.43105796531642543
25118,-0.920603840019964,1.2264272338769806,0.4081873061609439,1.960382875527677,"POLYGON ((954035.230213883 1952565.54807064, 954035.230213883 1952665.54807064, 954135.230213883 1952665.54807064, 954135.230213883 1952565.54807064, 954035.230213883 1952565.54807064))",종로구,서울특별시 종로구 청진동 201-1번지,126.979507345,37.572090057,954037.7180872164,1952651.5322333,진학회관,-0.6081827541923343,-0.5512904257931531,-0.3888527401999028,-0.7452151238995933,-0.4291110570314162,-0.3153092665866587,-0.2478695052981198,0.0139481454422349,1.0500894756103785,1.7280228061732157,10,"POLYGON ((954035.230213883 1952565.54807064, 954035.230213883 1952665.54807064, 954135.230213883 1952665.54807064, 954135.230213883 1952565.54807064, 954035.230213883 1952565.54807064))",0.2108609582304811,0.1259273044725727,0.0844763228813875,0.35785721799922,-0.2815085821879889,0.0526079510304945,0.5814808894772897,0.7689894409338001,0.2383688995888138,0.6411718657934335,0.15283543209648737
