grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_elct,gwr_bs_ebit,gwr_bd_height,gwr_bd_vintage,gwr_pp_od,gwr_pp_pop,gwr_r2
29104,-1.163153996563086,-1.4016224003344877,-1.2605880062013712,"POLYGON ((954135.230213883 1945265.54807064, 954135.230213883 1945365.54807064, 954235.230213883 1945365.54807064, 954235.230213883 1945265.54807064, 954135.230213883 1945265.54807064))",서초구,서울특별시 서초구 반포동 1333-1번지,126.98108757,37.505767634,954136.6562297802,1945292.6484653205,한강반포지구내유선장,2.4282020285613406,-0.7717564866309726,-0.6154762834826628,-1.095036502342091,0.0016473889661031095,-0.3099755866143559,-0.3948394145440568,0.5028840894540927,-1.4683657554474565,-1.0584144347996494,12,"POLYGON ((954135.230213883 1945265.54807064, 954135.230213883 1945365.54807064, 954235.230213883 1945365.54807064, 954235.230213883 1945265.54807064, 954135.230213883 1945265.54807064))",-7.489406398251432,-0.08537743828850179,-6.636900209709216,0.6673072050838388,0.2369252436484759,2.129741903091028,-0.46778135336996307,0.8732973276965361
29108,0.4258799741024609,0.14527104749429465,-1.2618970574968313,"POLYGON ((954235.230213883 1942065.54807064, 954235.230213883 1942165.54807064, 954335.230213883 1942165.54807064, 954335.230213883 1942065.54807064, 954235.230213883 1942065.54807064))",서초구,서울특별시 서초구 방배동 450-25번지,126.983158437,37.477206176,954302.2904614888,1942122.9284162363,"성지빌딩, 웅지빌딩, 동화빌딩",-0.009162688594739309,0.15328121529995667,0.023928872829663675,0.27980992613945826,0.08214184764575534,-0.047532022204219475,0.16070872367550298,0.14645359980631842,0.2174555674309736,0.1922991748127411,12,"POLYGON ((954235.230213883 1942065.54807064, 954235.230213883 1942165.54807064, 954335.230213883 1942165.54807064, 954335.230213883 1942065.54807064, 954235.230213883 1942065.54807064))",0.8773242317584214,0.4961008491602406,0.8652601672055187,0.3220233237320436,0.07007514129030773,0.6242583702318105,-0.05623780469453887,0.7000203113804663
29109,0.6324495824732029,0.1028672673190061,-1.269326817603877,"POLYGON ((954235.230213883 1942165.54807064, 954235.230213883 1942265.54807064, 954335.230213883 1942265.54807064, 954335.230213883 1942165.54807064, 954235.230213883 1942165.54807064))",서초구,서울특별시 서초구 방배동 452-9번지,126.983094313,37.47824828,954297.255411986,1942238.574105171,성도빌딩,-0.037641209229646096,-0.07147499283055153,-0.38677494666226114,-0.42437970796084745,-0.23983598707285364,0.013866699376196848,-0.18836188566470669,-0.6519557816051192,-0.4807807451118812,0.14227063042824567,12,"POLYGON ((954235.230213883 1942165.54807064, 954235.230213883 1942265.54807064, 954335.230213883 1942265.54807064, 954335.230213883 1942165.54807064, 954235.230213883 1942165.54807064))",-2.0818479756040573,0.5192539007500004,-1.5141890295122458,0.28824590654487126,0.06507884992859078,0.5111870635741134,-0.13326228175948612,0.6829282296808612
29110,0.8625676048912218,0.05154992242572918,-1.2700041604148067,"POLYGON ((954235.230213883 1942265.54807064, 954235.230213883 1942365.54807064, 954335.230213883 1942365.54807064, 954335.230213883 1942265.54807064, 954235.230213883 1942265.54807064))",서초구,서울특별시 서초구 방배동 451-5번지,126.983325531,37.47859472,954317.9098297476,1942276.8971434685,NoData,-0.11540747730141362,-0.818079327917863,-0.5880968823275887,-0.9944379831849044,0.0016473889661031095,-0.2860308130026626,-0.41314466671784117,-0.3614979824449324,-0.7205754540909212,-0.3079862690322151,12,"POLYGON ((954235.230213883 1942265.54807064, 954235.230213883 1942365.54807064, 954335.230213883 1942365.54807064, 954335.230213883 1942265.54807064, 954235.230213883 1942265.54807064))",-8.030729157658856,0.5395535965835762,-6.320508824056582,0.25078584302394147,0.060320960449820896,0.3431899084015912,-0.32494389950772695,0.6699854696402908
29111,1.0677105902816413,0.039110746865323495,-1.2773852310454066,"POLYGON ((954235.230213883 1942365.54807064, 954235.230213883 1942465.54807064, 954335.230213883 1942465.54807064, 954335.230213883 1942365.54807064, 954235.230213883 1942365.54807064))",서초구,서울특별시 서초구 방배동 454-27번지,126.983411611,37.479915586,954326.3246633935,1942423.3967948484,동룡빌딩,-0.0786728597218801,-0.4583479443134843,-0.47113974219696014,-0.22318266964647437,-0.3337461888657813,-0.22591974583671656,-0.3445691364019666,-0.5670005828719065,-0.609982540538991,-0.09953400076348318,12,"POLYGON ((954235.230213883 1942365.54807064, 954235.230213883 1942465.54807064, 954335.230213883 1942465.54807064, 954335.230213883 1942365.54807064, 954235.230213883 1942365.54807064))",-15.142030824762802,0.6455899382289457,-12.084742179007137,0.18690997964294226,0.05192281118419289,0.13482059130482432,-0.5625238336721539,0.6610880619398873
29112,1.1963068143977238,-0.0008529981977370359,-1.2843140556933108,"POLYGON ((954235.230213883 1942465.54807064, 954235.230213883 1942565.54807064, 954335.230213883 1942565.54807064, 954335.230213883 1942465.54807064, 954235.230213883 1942465.54807064))",서초구,서울특별시 서초구 방배동 455-20번지,126.98323464,37.480622978,954311.108549647,1942501.963164744,"일신빌딩, 대왕빌딩, 경인빌딩",-0.08739319963460326,-0.5456933644829659,-0.4811889499691732,-0.45791254767990963,-0.30020683108259283,-0.16503608602208836,-0.34459345827829785,-0.5235696209259996,-0.5424768053256589,1.0365308613011046,12,"POLYGON ((954235.230213883 1942465.54807064, 954235.230213883 1942565.54807064, 954335.230213883 1942565.54807064, 954335.230213883 1942465.54807064, 954235.230213883 1942465.54807064))",-14.816980109977546,0.8001811208270204,-11.808443062555506,0.1264877471938159,0.04612234851528544,0.029475756762943676,-0.5085025181871216,0.6665518903156975
29113,1.290380162130952,-0.03046622761710997,-1.2907084226513947,"POLYGON ((954235.230213883 1942565.54807064, 954235.230213883 1942665.54807064, 954335.230213883 1942665.54807064, 954335.230213883 1942565.54807064, 954235.230213883 1942565.54807064))",서초구,서울특별시 서초구 방배동 455-5번지,126.983239813,37.48192375,954312.3579475397,1942646.2728166904,NoData,-0.1106276317018929,-0.7628655109664753,-0.583368451623656,-1.0615036626230288,-0.4008249044321582,-0.26652004937471047,-0.4152302676132433,-0.7555545152224291,-0.5816809103997732,0.4424418967352192,12,"POLYGON ((954235.230213883 1942565.54807064, 954235.230213883 1942665.54807064, 954335.230213883 1942665.54807064, 954335.230213883 1942565.54807064, 954235.230213883 1942565.54807064))",-8.86067902451281,0.9682463666553112,-6.9365926592138445,0.0778089559643115,0.04320376007327963,0.03840388208930046,-0.20769508002524184,0.6807779121247148
29114,1.44051134364776,-0.034618971064770715,-1.2965276265095689,"POLYGON ((954235.230213883 1942665.54807064, 954235.230213883 1942765.54807064, 954335.230213883 1942765.54807064, 954335.230213883 1942665.54807064, 954235.230213883 1942665.54807064))",서초구,서울특별시 서초구 방배동 437-30번지,126.983270101,37.482219239,954315.2156942702,1942679.0407000608,"연안회관, 인성빌딩",-0.09971235103600985,-0.6909786394282131,-0.5251584808449183,-0.5585110668370962,-0.26666747329940443,-0.2465446104580582,-0.3849677729881229,-0.3201856040085818,-0.6393296134801852,0.609203711350204,1,"POLYGON ((954235.230213883 1942665.54807064, 954235.230213883 1942765.54807064, 954335.230213883 1942765.54807064, 954335.230213883 1942665.54807064, 954235.230213883 1942665.54807064))",-3.6907919987597677,0.9683833844840245,-2.6132188048944682,0.05149246641225738,0.04417034753751557,0.19809288881909465,0.12468251078908876,0.6919420262506714
29115,1.4856818285093518,0.015233062422352641,-1.30176120792796,"POLYGON ((954235.230213883 1942765.54807064, 954235.230213883 1942865.54807064, 954335.230213883 1942865.54807064, 954335.230213883 1942765.54807064, 954235.230213883 1942765.54807064))",서초구,서울특별시 서초구 방배동 438-17번지,126.982371041,37.483157528,954236.3003242692,1942783.574386128,NoData,-0.11778440129806729,-0.8399998403022693,-0.6029217903390439,-1.0615036626230288,-0.4008249044321582,-0.3099755866143559,-0.42263323872155834,-0.5839492509483578,0.21494650470623028,0.6925846186576974,7,"POLYGON ((954235.230213883 1942765.54807064, 954235.230213883 1942865.54807064, 954335.230213883 1942865.54807064, 954335.230213883 1942765.54807064, 954235.230213883 1942765.54807064))",0.39041602826761457,0.8030735554244548,0.9451130103571989,0.06377564026152119,0.04284003173047141,0.026808398882189506,0.5073929374749175,0.7027409187384648
29116,1.5049622702895507,0.11590605718043147,-1.3064204358883624,"POLYGON ((954235.230213883 1942865.54807064, 954235.230213883 1942965.54807064, 954335.230213883 1942965.54807064, 954335.230213883 1942865.54807064, 954235.230213883 1942865.54807064))",서초구,서울특별시 서초구 방배동 3005번지,126.982472677,37.484534576,954246.1258227412,1942936.29954665,"인산타워, 동주빌딩, 방배 노블루체 서리풀",-0.036694153574729396,-0.30925875750821497,-0.235776207526572,0.5145398041728935,0.0016473889661031095,-0.01782639471213513,-0.0745719872490943,0.6749978137704572,-0.22413947212385038,-1.758814056182588,7,"POLYGON ((954235.230213883 1942865.54807064, 954235.230213883 1942965.54807064, 954335.230213883 1942965.54807064, 954335.230213883 1942865.54807064, 954235.230213883 1942865.54807064))",3.864573308818998,0.6874126680057788,4.044118175552458,0.07899134095581517,0.04026110997881975,-0.4390129813156049,0.9096840626897285,0.7106696469181565
