,시도,시군구,읍면동/구,읍/면/리/동,리,위도,경도,구동명
0,서울특별시,,,,,37.5666103,126.9783882,
1,서울특별시,강동구,,,,37.530126,127.1237708,
2,서울특별시,강동구,천호동,,,37.5450159,127.1368066,강동구 천호동
3,서울특별시,강동구,성내동,,,37.5304417,127.122425,강동구 성내동
4,서울특별시,강동구,암사동,,,37.551508,127.132663,강동구 암사동
5,서울특별시,강동구,둔촌동,,,37.5333656,127.1419851,강동구 둔촌동
6,서울특별시,강동구,고덕동,,,37.5572593,127.1515382,강동구 고덕동
7,서울특별시,강동구,명일동,,,37.5512453,127.1443656,강동구 명일동
8,서울특별시,강동구,둔촌2동,,,37.5332885,127.1419221,강동구 둔촌2동
9,서울특별시,강동구,둔촌1동,,,37.5333656,127.1419851,강동구 둔촌1동
10,서울특별시,강동구,길동,,,37.5345598,127.1426791,강동구 길동
11,서울특별시,강동구,성내3동,,,37.5260101,127.13287,강동구 성내3동
12,서울특별시,강동구,성내2동,,,37.532425,127.129563,강동구 성내2동
13,서울특별시,강동구,성내1동,,,37.5304417,127.122425,강동구 성내1동
14,서울특별시,강동구,천호3동,,,37.5361455,127.1332269,강동구 천호3동
15,서울특별시,강동구,천호2동,,,37.543525700000004,127.1254351,강동구 천호2동
16,서울특별시,강동구,천호1동,,,37.5450159,127.1368066,강동구 천호1동
17,서울특별시,강동구,암사3동,,,37.5549912,127.1408249,강동구 암사3동
18,서울특별시,강동구,암사2동,,,37.5517481,127.1272074,강동구 암사2동
19,서울특별시,강동구,암사1동,,,37.551508,127.132663,강동구 암사1동
20,서울특별시,강동구,고덕2동,,,37.5605,127.16435,강동구 고덕2동
21,서울특별시,강동구,고덕1동,,,37.5572593,127.1515382,강동구 고덕1동
22,서울특별시,강동구,명일2동,,,37.546366,127.1513427,강동구 명일2동
23,서울특별시,강동구,명일1동,,,37.5512453,127.1443656,강동구 명일1동
24,서울특별시,강동구,상일동,,,37.550583,127.1683007,강동구 상일동
25,서울특별시,강동구,강일동,,,37.5649783,127.173909,강동구 강일동
26,서울특별시,송파구,,,,37.5145636,127.1059186,
27,서울특별시,송파구,마천동,,,37.4960195,127.1499724,송파구 마천동
28,서울특별시,송파구,거여동,,,37.4969643,127.1432324,송파구 거여동
29,서울특별시,송파구,방이동,,,37.510933,127.123925,송파구 방이동
30,서울특별시,송파구,문정동,,,37.4900982,127.1241719,송파구 문정동
31,서울특별시,송파구,가락동,,,37.4955568,127.1217864,송파구 가락동
32,서울특별시,송파구,송파동,,,37.5062595,127.1093393,송파구 송파동
33,서울특별시,송파구,풍납동,,,37.538092,127.122075,송파구 풍납동
34,서울특별시,송파구,신천동,,,37.5239079,127.0989414,송파구 신천동
35,서울특별시,송파구,잠실동,,,37.5061,127.084338,송파구 잠실동
36,서울특별시,송파구,잠실7동,,,37.5086777,127.0771146,송파구 잠실7동
37,서울특별시,송파구,잠실6동,,,37.518142,127.10065,송파구 잠실6동
38,서울특별시,송파구,잠실4동,,,37.5201089,127.1122668,송파구 잠실4동
39,서울특별시,송파구,잠실3동,,,37.513333,127.094375,송파구 잠실3동
40,서울특별시,송파구,잠실2동,,,37.5119488,127.088559,송파구 잠실2동
41,서울특별시,송파구,잠실본동,,,37.5061,127.084338,송파구 잠실본동
42,서울특별시,송파구,위례동,,,37.4811656,127.1439378,송파구 위례동
43,서울특별시,송파구,장지동,,,37.4785,127.1354,송파구 장지동
44,서울특별시,송파구,문정2동,,,37.489823,127.1108107,송파구 문정2동
45,서울특별시,송파구,문정1동,,,37.4900982,127.1241719,송파구 문정1동
46,서울특별시,송파구,가락2동,,,37.4987054,127.1266714,송파구 가락2동
47,서울특별시,송파구,가락1동,,,37.4964898,127.1098653,송파구 가락1동
48,서울특별시,송파구,가락본동,,,37.4955568,127.1217864,송파구 가락본동
49,서울특별시,송파구,삼전동,,,37.502714,127.0925354,송파구 삼전동
50,서울특별시,송파구,석촌동,,,37.503592,127.1037,송파구 석촌동
51,서울특별시,송파구,송파2동,,,37.502317,127.1167651,송파구 송파2동
52,서울특별시,송파구,송파1동,,,37.5062595,127.1093393,송파구 송파1동
53,서울특별시,송파구,오금동,,,37.5030528,127.1281494,송파구 오금동
54,서울특별시,송파구,오륜동,,,37.515425,127.1343,송파구 오륜동
55,서울특별시,송파구,방이2동,,,37.5164444,127.1114868,송파구 방이2동
56,서울특별시,송파구,방이1동,,,37.510933,127.123925,송파구 방이1동
57,서울특별시,송파구,마천2동,,,37.4968477,127.1485193,송파구 마천2동
58,서울특별시,송파구,마천1동,,,37.4960195,127.1499724,송파구 마천1동
59,서울특별시,송파구,거여2동,,,37.4935803,127.1468764,송파구 거여2동
60,서울특별시,송파구,거여1동,,,37.4969643,127.1432324,송파구 거여1동
61,서울특별시,송파구,풍납2동,,,37.5292584,127.1157686,송파구 풍납2동
62,서울특별시,송파구,풍납1동,,,37.538092,127.122075,송파구 풍납1동
63,서울특별시,강남구,,,,37.517305,127.047502,
64,서울특별시,강남구,도곡동,,,37.488238,127.0390246,강남구 도곡동
65,서울특별시,강남구,일원동,,,37.491839,127.0879629,강남구 일원동
66,서울특별시,강남구,율현동,,,37.4717,127.1114,강남구 율현동
67,서울특별시,강남구,자곡동,,,37.4751929,127.0989125,강남구 자곡동
68,서울특별시,강남구,논현동,,,37.5115706,127.028461,강남구 논현동
69,서울특별시,강남구,대치동,,,37.4931821,127.0567047,강남구 대치동
70,서울특별시,강남구,삼성동,,,37.5144424,127.062532,강남구 삼성동
71,서울특별시,강남구,개포동,,,37.4827409,127.055737,강남구 개포동
72,서울특별시,강남구,역삼동,,,37.4954841,127.0333574,강남구 역삼동
73,서울특별시,강남구,수서동,,,37.4889181,127.104929,강남구 수서동
74,서울특별시,강남구,일원2동,,,37.4922048,127.0737224,강남구 일원2동
75,서울특별시,강남구,일원1동,,,37.491839,127.0879629,강남구 일원1동
76,서울특별시,강남구,일원본동,,,37.4833484,127.0864633,강남구 일원본동
77,서울특별시,강남구,세곡동,,,37.4643683,127.1043555,강남구 세곡동
78,서울특별시,강남구,개포4동,,,37.4788183,127.0516374,강남구 개포4동
79,서울특별시,강남구,개포2동,,,37.4897723,127.0689523,강남구 개포2동
80,서울특별시,강남구,개포1동,,,37.4827409,127.055737,강남구 개포1동
81,서울특별시,강남구,도곡2동,,,37.4837425,127.0464338,강남구 도곡2동
82,서울특별시,강남구,도곡1동,,,37.488238,127.0390246,강남구 도곡1동
83,서울특별시,강남구,역삼2동,,,37.4959674,127.0468034,강남구 역삼2동
84,서울특별시,강남구,역삼1동,,,37.4954841,127.0333574,강남구 역삼1동
85,서울특별시,강남구,대치4동,,,37.4997415,127.0579127,강남구 대치4동
86,서울특별시,강남구,대치2동,,,37.5022848,127.0642072,강남구 대치2동
87,서울특별시,강남구,대치1동,,,37.4931821,127.0567047,강남구 대치1동
88,서울특별시,강남구,삼성2동,,,37.5112,127.04595,강남구 삼성2동
89,서울특별시,강남구,삼성1동,,,37.5144424,127.062532,강남구 삼성1동
90,서울특별시,강남구,청담동,,,37.525107,127.049291,강남구 청담동
91,서울특별시,강남구,압구정동,,,37.530642,127.030713,강남구 압구정동
92,서울특별시,강남구,논현2동,,,37.517342,127.037213,강남구 논현2동
93,서울특별시,강남구,논현1동,,,37.5115706,127.028461,강남구 논현1동
94,서울특별시,강남구,신사동,,,37.5240101,127.0227814,강남구 신사동
95,서울특별시,서초구,,,,37.483569,127.032598,
96,서울특별시,서초구,신원동,,,37.4448,127.0641,서초구 신원동
97,서울특별시,서초구,염곡동,,,37.462035,127.054288,서초구 염곡동
98,서울특별시,서초구,서초동,,,37.4901186,127.0195082,서초구 서초동
99,서울특별시,서초구,반포동,,,37.5004776,126.98606,서초구 반포동
100,서울특별시,서초구,원지동,,,37.4452,127.0476,서초구 원지동
101,서울특별시,서초구,우면동,,,37.466,127.0169,서초구 우면동
102,서울특별시,서초구,양재동,,,37.470101,127.039888,서초구 양재동
103,서울특별시,서초구,방배동,,,37.4941452,126.988785,서초구 방배동
104,서울특별시,서초구,내곡동,,,37.4493583,127.0583103,서초구 내곡동
105,서울특별시,서초구,양재2동,,,37.470601,127.041188,서초구 양재2동
106,서울특별시,서초구,양재1동,,,37.4716412,127.026744,서초구 양재1동
107,서울특별시,서초구,방배4동,,,37.489007,126.9923344,서초구 방배4동
108,서울특별시,서초구,방배3동,,,37.4784409,126.9999918,서초구 방배3동
109,서울특별시,서초구,방배2동,,,37.4797439,126.9855106,서초구 방배2동
110,서울특별시,서초구,방배1동,,,37.4832801,126.9945569,서초구 방배1동
111,서울특별시,서초구,방배본동,,,37.4941452,126.988785,서초구 방배본동
112,서울특별시,서초구,반포4동,,,37.4974314,127.0003853,서초구 반포4동
113,서울특별시,서초구,반포3동,,,37.5120925,127.0056289,서초구 반포3동
114,서울특별시,서초구,반포2동,,,37.5046022,126.9945091,서초구 반포2동
115,서울특별시,서초구,반포1동,,,37.5050895,127.0135073,서초구 반포1동
116,서울특별시,서초구,반포본동,,,37.5004776,126.98606,서초구 반포본동
117,서울특별시,서초구,잠원동,,,37.5149619,127.0140771,서초구 잠원동
118,서울특별시,서초구,서초4동,,,37.5026685,127.0221589,서초구 서초4동
119,서울특별시,서초구,서초3동,,,37.4836682,127.0119725,서초구 서초3동
120,서울특별시,서초구,서초2동,,,37.49208,127.02496,서초구 서초2동
121,서울특별시,서초구,서초1동,,,37.4901186,127.0195082,서초구 서초1동
122,서울특별시,관악구,,,,37.4781549,126.9514847,
123,서울특별시,관악구,봉천동,,,37.4779619,126.9534602,관악구 봉천동
124,서울특별시,관악구,난곡동,,,37.4709634,126.9216507,관악구 난곡동
125,서울특별시,관악구,미성동,,,37.4761761,126.9155534,관악구 미성동
126,서울특별시,관악구,삼성동,,,37.470101,126.932963,관악구 삼성동
127,서울특별시,관악구,대학동,,,37.4706145,126.9369907,관악구 대학동
128,서울특별시,관악구,조원동,,,37.4826299,126.9078649,관악구 조원동
129,서울특별시,관악구,난향동,,,37.461429,126.918842,관악구 난향동
130,서울특별시,관악구,신림동,,,37.487426,126.927075,관악구 신림동
131,서울특별시,관악구,신사동,,,37.4829831,126.9192856,관악구 신사동
132,서울특별시,관악구,서림동,,,37.4749956,126.9349995,관악구 서림동
133,서울특별시,관악구,신원동,,,37.4815883,126.9273519,관악구 신원동
134,서울특별시,관악구,서원동,,,37.4797346,126.9313,관악구 서원동
135,서울특별시,관악구,남현동,,,37.4745394,126.9778366,관악구 남현동
136,서울특별시,관악구,인헌동,,,37.4750974,126.9652628,관악구 인헌동
137,서울특별시,관악구,중앙동,,,37.4842598,126.9497133,관악구 중앙동
138,서울특별시,관악구,은천동,,,37.4853086,126.9424278,관악구 은천동
139,서울특별시,관악구,청룡동,,,37.4791304,126.9416518,관악구 청룡동
140,서울특별시,관악구,낙성대동,,,37.4762971,126.9583884,관악구 낙성대동
141,서울특별시,관악구,행운동,,,37.4806541,126.9570456,관악구 행운동
142,서울특별시,관악구,성현동,,,37.4895366,126.9481271,관악구 성현동
143,서울특별시,관악구,청림동,,,37.4918329,126.9585773,관악구 청림동
144,서울특별시,관악구,보라매동,,,37.4881456,126.9327389,관악구 보라매동
145,서울특별시,동작구,,,,37.51245,126.9395,
146,서울특별시,동작구,신대방동,,,37.488943,126.91005,동작구 신대방동
147,서울특별시,동작구,사당동,,,37.4830639,126.9786682,동작구 사당동
148,서울특별시,동작구,동작동,,,37.4991998,126.9738471,동작구 동작동
149,서울특별시,동작구,본동,,,37.5124285,126.9536286,동작구 본동
150,서울특별시,동작구,상도1동,,,37.4981,126.953089,동작구 상도1동
151,서울특별시,동작구,상도동,,,37.4981,126.953089,동작구 상도동
152,서울특별시,동작구,노량진동,,,37.512308,126.942013,동작구 노량진동
153,서울특별시,동작구,신대방2동,,,37.4984422,126.9244085,동작구 신대방2동
154,서울특별시,동작구,신대방1동,,,37.488943,126.91005,동작구 신대방1동
155,서울특별시,동작구,대방동,,,37.508133,126.92635,동작구 대방동
156,서울특별시,동작구,사당5동,,,37.4857521,126.9668658,동작구 사당5동
157,서울특별시,동작구,사당4동,,,37.4809888,126.9716704,동작구 사당4동
158,서울특별시,동작구,사당3동,,,37.4845247,126.9734908,동작구 사당3동
159,서울특별시,동작구,사당2동,,,37.4887323,126.9792598,동작구 사당2동
