,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,code,y,x
0,202201,1호선,동대문,764,14,10341,1639,7589,4753,11238,9014,16677,19698,15203,18791,14212,17998,15795,20831,19069,21310,20990,21312,23318,20607,24418,18830,24094,17316,23815,16653,20708,17043,14057,16101,13279,10749,12969,12269,5802,7185,1715,5806,8,1117,0,0,2,2,0,0,155.0,37.57142,127.009745
1,202101,1호선,동대문,542,15,11232,1512,6920,4611,10340,7951,14857,17036,13070,16659,11682,14967,13016,16227,15784,17886,16952,17782,19355,17424,20306,16095,20926,14624,20108,14745,19005,15122,12907,15188,11741,10244,9187,10156,4139,6416,1426,6405,6,999,0,2,0,0,0,0,155.0,37.57142,127.009745
2,202001,1호선,동대문,725,8,12681,1786,9016,6186,13096,10733,20234,22679,20559,25891,18843,25745,21450,33140,26737,35736,30178,34722,31637,33487,33030,31988,32948,28574,32327,28109,30813,28165,20918,27472,16799,19239,15080,16508,12694,14426,6781,11746,911,4037,22,90,1,4,0,0,155.0,37.57142,127.009745
3,202201,1호선,동묘앞,111,1,2206,727,2815,3923,4877,6311,8215,14327,6954,14305,7511,17405,11602,23815,17481,28354,23659,30670,30219,30041,32926,23896,31917,15992,26078,10771,16570,8062,7140,5910,4923,4372,4308,5958,2616,3634,866,1774,4,854,0,0,0,0,0,0,159.0,37.572627,127.016429
4,202101,1호선,동묘앞,78,2,2391,738,2761,3527,4457,5734,6977,14687,5588,13409,6386,14013,9706,19323,14318,23997,19975,27026,25755,26641,28426,21195,27605,14522,23169,10057,16419,7615,6999,5208,4789,3885,4265,4664,1982,2495,517,1502,1,704,0,8,0,0,0,0,159.0,37.572627,127.016429
5,202001,1호선,동묘앞,130,2,3039,732,3164,4162,5512,8270,8602,19942,8322,15828,9436,18251,14166,27406,19890,33268,26039,35757,33350,37431,37890,30838,38236,22196,35145,15236,25762,10989,11279,7789,6649,5754,5674,5751,3794,5819,1769,4130,244,2362,6,152,0,11,0,0,159.0,37.572627,127.016429
6,202201,1호선,시청,27,0,1610,4157,2623,17377,5704,52313,7236,155471,7552,70487,8879,27920,13231,26945,14892,23890,18034,24121,23734,20685,30906,17381,36316,15454,66415,15695,122934,14755,44810,6560,40906,4190,45218,5342,12194,1997,2405,912,8,99,0,0,0,0,0,0,151.0,37.564718,126.977108
7,202101,1호선,시청,18,1,1489,2990,2235,14570,4971,47793,6119,131340,6335,62133,7012,23760,10198,19942,11459,17031,13648,17361,18213,15206,24043,12769,27737,10571,55134,10643,108895,9871,41170,4716,34710,3216,33243,3675,9286,1306,2254,629,4,48,0,1,0,0,0,0,151.0,37.564718,126.977108
8,202001,1호선,시청,55,0,1999,3976,3497,19177,7417,60452,9330,192100,11934,83874,14763,45181,20957,45937,24807,44684,30626,46711,38849,41838,51606,33414,58397,27894,77658,26527,158475,26415,66799,15223,52413,8853,53343,7879,34039,5823,12937,3747,556,1063,7,38,0,0,0,0,151.0,37.564718,126.977108
9,202201,1호선,신설동,292,3,6797,2308,7283,9518,14433,17502,23567,52593,15344,30603,13936,20143,16218,17693,18252,17442,20268,18819,20807,17170,22969,17209,28241,17205,37377,19323,49986,23481,18023,16579,13829,10878,13679,15119,5046,7508,1557,4006,18,472,0,0,0,0,0,0,156.0,37.575297,127.025087
10,202101,1호선,신설동,279,3,6413,2235,6769,7410,13739,18243,19137,48070,12766,28106,11310,16316,12868,15035,14144,15547,16963,16126,17564,15538,18799,15573,22733,15417,33392,16980,48075,21175,17757,15251,13613,10184,10978,11633,3813,5699,1156,2747,9,194,0,0,1,0,0,0,156.0,37.575297,127.025087
11,202001,1호선,신설동,255,9,9111,1920,9472,7410,17886,20807,28259,67545,20115,36395,18640,23009,22647,21604,24543,21225,26027,21919,25892,21978,27786,22166,30180,23308,41123,25874,63229,29961,26655,23637,16531,15702,15461,15596,11209,14636,4827,10009,484,2823,7,37,0,0,0,0,156.0,37.575297,127.025087
12,202201,1호선,제기동,184,5,4108,1725,6850,7294,17532,16151,27622,34899,19917,27266,22377,37345,32284,45994,40005,48997,44175,51789,48053,50484,52069,40483,47879,29547,40752,22738,34039,23410,14399,16033,9957,10799,8627,14202,3849,7112,1188,3256,9,333,0,0,0,0,0,0,157.0,37.578103,127.034893
13,202101,1호선,제기동,271,3,3964,1561,6349,5866,15914,15109,24375,32855,16498,27133,18389,30132,25596,35839,32622,36962,37045,40011,40870,41860,42216,34951,35715,25003,33310,18808,30408,21250,12792,15650,9330,10291,8422,11266,4617,5465,1601,2380,5,189,0,0,0,0,0,0,157.0,37.578103,127.034893
14,202001,1호선,제기동,287,6,4758,2046,7810,8367,19985,17277,31530,41858,23620,40581,25522,43243,35782,56749,44588,64105,50778,66882,57711,63233,66162,49114,63323,40936,52662,29025,47031,28638,24537,20578,16736,12466,11481,11658,8182,10868,3571,7038,369,1793,1,26,0,0,0,0,157.0,37.578103,127.034893
15,202201,1호선,종각,87,2,1954,3686,2712,19130,4579,84536,8362,201196,9704,115947,13646,48750,21588,43603,26831,40419,33109,40951,41670,35919,52702,31185,59125,31984,106293,33183,169808,33595,72906,14096,79392,5874,97044,5648,22175,2401,4526,1133,6,124,0,0,0,0,0,0,152.0,37.570161,126.982923
16,202101,1호선,종각,113,1,1852,3464,2578,18288,4413,77560,6631,165202,7997,100421,10911,42055,16566,33259,20303,30355,24807,32406,31147,27866,41132,24197,47952,23353,94486,22887,153681,23132,69054,10706,65480,4650,66880,3814,13805,1626,3108,785,10,100,1,1,0,0,0,0,152.0,37.570161,126.982923
17,202001,1호선,종각,126,5,4380,4683,4456,25858,6286,94635,10348,262168,13222,158477,18174,73909,30217,70696,39954,68125,54878,68560,63398,61180,81096,51339,93834,48984,138198,56395,232418,70076,115374,42203,98897,17205,112004,11260,92025,8019,42602,5038,2896,1577,9,22,0,0,0,0,152.0,37.570161,126.982923
18,202201,1호선,종로3가,124,15,2110,2375,2416,10706,3664,20452,6359,64067,11039,63900,16447,54362,29901,54901,35384,56013,44806,58647,50507,51138,58999,41480,62960,34651,70171,29590,85369,27030,48596,10953,46301,5191,58233,6258,14178,2577,2951,1402,33,345,1,1,0,0,0,0,153.0,37.571607,126.991806
19,202101,1호선,종로3가,109,4,2187,2427,2374,8473,3297,18316,5367,52803,7144,54311,13136,42285,21589,40904,27183,40138,33818,41532,38643,39874,42923,32894,45809,25998,56011,20659,79064,17711,43768,7957,35106,3901,33741,4108,8128,1572,2142,1104,7,194,0,3,0,0,0,0,153.0,37.571607,126.991806
20,202001,1호선,종로3가,160,25,4750,2452,4234,13222,5495,26329,9178,73643,12981,94163,24003,79163,38647,86114,55279,91200,70630,91727,75308,79838,85537,66499,97145,54821,98108,50410,117513,54431,81093,32006,60055,13622,65589,9673,52438,7607,22638,5357,2565,2284,30,89,0,0,0,0,153.0,37.571607,126.991806
21,202201,1호선,종로5가,18,0,1349,3121,2210,12580,4221,34488,6770,89299,9461,56276,14723,42681,23784,46190,30972,45943,37636,42810,46196,41508,51583,35926,54246,29496,70314,24524,85715,19748,42641,9212,34127,4700,30608,5396,8869,2557,1973,1144,4,271,0,0,0,0,0,0,154.0,37.570926,127.001849
22,202101,1호선,종로5가,157,4,1170,2806,1933,11097,3473,30990,5745,86177,7670,51639,12690,38927,19495,35761,24775,34242,29465,34614,36459,34545,41052,28364,46796,22094,61473,17184,82698,13074,38369,6821,26177,3731,20639,4041,5426,2073,1449,1181,3,159,0,0,0,0,0,0,154.0,37.570926,127.001849
23,202001,1호선,종로5가,38,0,1820,3357,2763,13143,4956,35867,8277,111863,11992,70951,19974,57604,31219,62802,42797,65657,54442,60902,64381,56783,68361,51404,71609,43571,86590,40295,114755,34688,61282,23238,42924,9920,35088,7374,29005,5158,9617,3170,592,1011,2,13,0,0,0,0,154.0,37.570926,127.001849
24,202201,2호선,강남,111,2,5074,9934,13881,45185,31286,131188,56880,286820,46119,318853,47885,150378,66246,110718,86395,110061,105355,132425,112777,115171,140051,111243,159625,119131,230921,137775,308771,162197,196833,79027,198569,39273,281441,50528,96207,21859,16332,8908,4,6,0,0,0,0,0,0,222.0,37.497175,127.027926
25,202101,2호선,강남,110,3,5034,10478,13743,40055,29652,120313,46525,260062,37172,253781,37419,121344,51439,85029,65397,81066,74938,96581,86107,91218,111104,84557,125759,83160,190350,93494,278385,107650,177478,60270,159575,31438,189419,34814,43747,13090,11496,6586,10,90,0,0,0,0,0,0,222.0,37.497175,127.027926
26,202001,2호선,강남,310,6,17056,12736,25137,54183,44628,156082,70230,340216,60770,394071,63771,181481,86622,153252,115480,158549,149166,188718,152468,162738,183604,154123,208926,158864,267291,193937,374029,263058,255352,194223,207610,87101,251784,64384,271204,57073,127885,35444,23456,10153,171,283,7,17,0,0,222.0,37.497175,127.027926
