,구동명,202001,202101,202201,위도,경도
0,종로구,162106,158581,153656,,
1,종로구 사직동,9840,9825,9612,37.576196,126.9688397
2,종로구 삼청동,3023,2888,2751,37.5850126,126.981836
3,종로구 부암동,10542,10285,9782,37.5924785,126.9641
4,종로구 평창동,18806,18586,18320,37.6063166,126.9681871
5,종로구 무악동,8753,8565,8291,37.5760032,126.958148
6,종로구 교남동,10764,10587,10189,37.5719391,126.9619364
7,종로구 가회동,4479,4417,4176,37.5800784,126.9847995
8,종로구 종로1.2.3.4가동,8459,8421,8659,37.574461,126.9902618
9,종로구 종로5.6가동,5848,5672,5449,37.5720148,127.0050414
10,종로구 이화동,8498,8071,7701,37.577008,127.004338
11,종로구 창신1동,6079,5939,5651,37.570758,127.016363
12,종로구 창신2동,9807,9478,9040,37.574458,127.010863
13,종로구 창신3동,7282,7077,6720,37.5779055,127.0150474
14,종로구 숭인1동,6528,6389,6115,37.5778049,127.0156274
15,종로구 숭인2동,9903,10199,10195,37.574867,127.019988
16,종로구 청운효자동,12983,12622,12137,37.5841367,126.9706519
17,종로구 혜화동,20512,19560,18868,37.5869186,127.0005764
18,중구,136647,134400,131651,,
19,중구 소공동,3063,3030,3396,37.562442,126.977025
20,중구 회현동,5852,5730,5431,37.557698,126.977662
21,중구 명동,3614,3757,3729,37.560042,126.98585
22,중구 필동,5043,4772,4652,37.5601529,126.9955699
23,중구 장충동,5610,5400,5283,37.5618946,127.0078812
24,중구 광희동,6329,6419,6351,37.564494,127.0050623
25,중구 을지로동,2002,1962,1920,37.5667163,126.9913342
26,중구 신당5동,10959,10864,10681,37.565142,127.02185
27,중구 황학동,13726,13508,13449,37.5673446,127.0212812
28,중구 중림동,12922,12753,12288,37.5548629,126.9644863
29,중구 신당동,9267,9201,9128,37.5620973,127.0145478
30,중구 다산동,15040,14708,14258,37.5542861,127.0082322
31,중구 약수동,17748,17259,16867,37.552479,127.0090022
32,중구 청구동,14488,14219,13825,37.557083,127.014687
33,중구 동화동,10984,10818,10393,37.5600562,127.0194239
34,용산구,246044,244468,236799,,
35,용산구 후암동,18501,18172,17283,37.5486375,126.9781344
36,용산구 용산2가동,11860,11248,10721,37.5461327,126.9855777
37,용산구 남영동,8420,8142,7835,37.5457586,126.9748403
38,용산구 원효로2동,14698,14286,13865,37.53435,126.951538
39,용산구 효창동,10349,10374,10135,37.5424569,126.9618498
40,용산구 용문동,12616,12439,11967,37.5389,126.957562
41,용산구 이촌1동,29334,28894,26589,37.5214167,126.9732
42,용산구 이촌2동,8996,8793,8335,37.5262575,126.9547071
43,용산구 이태원1동,9225,8750,8087,37.5325225,126.9950384
44,용산구 이태원2동,10837,10784,10575,37.5418962,126.9901481
45,용산구 서빙고동,14166,14026,13880,37.520458,126.994663
46,용산구 보광동,15986,15462,14695,37.5263257,127.0001818
47,용산구 청파동,20649,20403,20042,37.5488,126.9674
48,용산구 원효로1동,16715,16747,16568,37.5372185,126.9676811
49,용산구 한강로동,19750,22176,23364,37.5281071,126.9692332
50,용산구 한남동,23942,23772,22858,37.53455,127.0005
51,성동구,308631,299912,292158,,
52,성동구 왕십리2동,17741,17405,16806,37.561108,127.030488
53,성동구 마장동,23985,23415,22956,37.566325,127.045388
54,성동구 사근동,13484,13372,13370,37.5614846,127.0453315
55,성동구 행당1동,16449,14375,14201,37.558567,127.036188
56,성동구 행당2동,24614,24089,23345,37.558208,127.02935
57,성동구 응봉동,16138,15795,15427,37.5531636,127.0334357
58,성동구 금호1가동,15963,15796,15303,37.5549008,127.0216354
59,성동구 금호4가동,15172,14828,14436,37.5471987,127.02241
60,성동구 성수1가1동,17162,17003,16771,37.542108,127.04965
61,성동구 성수1가2동,14641,13692,12817,37.5462991,127.0443325
62,성동구 성수2가1동,17698,17093,16270,37.5395907,127.0540659
63,성동구 성수2가3동,11705,11446,10958,37.5482223,127.0552645
64,성동구 송정동,11419,11089,10892,37.5545217,127.0696004
65,성동구 용답동,13368,12701,12543,37.5640618,127.0555515
66,성동구 왕십리도선동,27816,27467,26924,37.5678257,127.0255501
67,성동구 금호2.3가동,24058,23548,22880,37.5532922,127.0209487
68,성동구 옥수동,27218,26798,26259,37.5436386,127.0134622
69,광진구,367084,359195,352624,,
70,광진구 화양동,25655,25502,26185,37.5465421,127.0713152
71,광진구 군자동,22252,21863,21452,37.5551217,127.0758373
72,광진구 중곡1동,16272,16155,15820,37.560675,127.080038
73,광진구 중곡2동,22599,22257,21754,37.560308,127.081487
74,광진구 중곡3동,17294,16845,16363,37.5688084,127.0801736
75,광진구 중곡4동,30528,29694,28926,37.5590865,127.0894538
76,광진구 능동,11972,11893,11589,37.5537803,127.0804994
77,광진구 구의1동,23094,22661,22402,37.5424917,127.0856756
78,광진구 구의2동,27844,27400,26977,37.5472481,127.0899111
79,광진구 구의3동,30111,29526,28833,37.5380706,127.0920204
80,광진구 광장동,36067,35568,34831,37.546892,127.103025
81,광진구 자양1동,24131,23614,23052,37.534508,127.082438
82,광진구 자양2동,26859,25925,24936,37.528825,127.084438
83,광진구 자양3동,29418,28946,28221,37.533842,127.072913
84,광진구 자양4동,22988,21346,21283,37.5341115,127.0662969
85,동대문구,363038,355908,351792,,
86,동대문구 회기동,13066,12600,12645,37.5908083,127.0553132
87,동대문구 휘경1동,16456,15271,16109,37.592932,127.065725
88,동대문구 휘경2동,25071,24894,24752,37.5902093,127.0685788
89,동대문구 청량리동,21778,20239,19269,37.5862586,127.0472767
90,동대문구 용신동,32239,32640,33502,37.5758185,127.0372169
91,동대문구 제기동,27337,26899,26514,37.5831612,127.0378551
92,동대문구 전농1동,31123,30604,29620,37.5779984,127.0477575
93,동대문구 전농2동,19980,19312,18791,37.5781027,127.0600375
94,동대문구 답십리2동,30493,29425,28477,37.567417,127.06125
95,동대문구 장안1동,39195,39299,38743,37.567842,127.066375
96,동대문구 장안2동,33203,33282,32802,37.578483,127.0706
97,동대문구 이문1동,22173,21027,20784,37.597849,127.06545
98,동대문구 이문2동,21165,20876,20405,37.6033571,127.065075
99,동대문구 답십리1동,29759,29540,29379,37.5717963,127.0512678
100,중랑구,401806,399337,392127,,
101,중랑구 면목2동,25915,25135,24388,37.589799,127.07905
102,중랑구 면목4동,20041,19541,19290,37.5746736,127.0855775
103,중랑구 면목5동,9788,14754,14910,37.5857842,127.079511
104,중랑구 면목7동,22454,22682,22081,37.5789945,127.0869854
105,중랑구 상봉1동,25482,24863,24179,37.5998799,127.0872004
106,중랑구 상봉2동,19912,20309,20597,37.592892,127.0808518
107,중랑구 중화1동,20889,20350,19757,37.6011745,127.080623
108,중랑구 중화2동,27061,26022,25318,37.5993838,127.0795427
109,중랑구 묵1동,35927,35508,34685,37.6123734,127.0784729
110,중랑구 묵2동,19902,19657,18912,37.6059528,127.0783313
111,중랑구 망우3동,17915,17488,16654,37.5919108,127.0949497
112,중랑구 신내1동,40785,39650,38668,37.605882,127.099538
113,중랑구 신내2동,21850,21251,20444,37.6061896,127.0942306
114,중랑구 면목본동,36163,35341,34159,37.5873592,127.0874227
115,중랑구 면목3.8동,26587,26007,25149,37.584966,127.093467
116,중랑구 망우본동,31135,30779,32936,37.6005732,127.1014684
117,성북구,454685,447392,439647,,
118,성북구 돈암1동,15880,15335,14775,37.6034071,127.0263875
119,성북구 돈암2동,24980,24604,23926,37.598039,127.0105659
120,성북구 안암동,17468,16403,16468,37.5858498,127.0213292
121,성북구 보문동,16634,16086,15728,37.580383,127.0228
122,성북구 정릉1동,19425,18883,18359,37.6014512,127.0166146
123,성북구 정릉2동,23819,23734,23244,37.6044729,127.0111047
124,성북구 정릉3동,17206,16713,16186,37.6089578,127.004186
125,성북구 정릉4동,26711,25879,25274,37.6133387,127.0069798
126,성북구 길음1동,37051,36479,35535,37.6104856,127.0193925
127,성북구 길음2동,16796,17150,16751,37.6066647,127.0273155
128,성북구 월곡1동,27471,27092,26516,37.6105472,127.0357574
129,성북구 월곡2동,20582,20359,19877,37.6057667,127.0478758
130,성북구 장위1동,20532,22437,24470,37.6141245,127.0437129
131,성북구 장위2동,13982,14075,13985,37.6123899,127.0545206
132,성북구 장위3동,17871,17002,15949,37.6165512,127.056603
133,성북구 성북동,17587,17406,17014,37.5911237,127.0032875
134,성북구 삼선동,25702,24039,23427,37.5908326,127.0146297
135,성북구 동선동,16345,16146,16057,37.5939824,127.0203666
136,성북구 종암동,42067,41178,40299,37.5990075,127.0351572
137,성북구 석관동,36576,36392,35807,37.612957,127.061413
138,강북구,317479,310980,302111,,
139,강북구 번1동,19635,19353,18703,37.6378913,127.0288473
140,강북구 번2동,17062,16511,15881,37.6323588,127.0387953
141,강북구 번3동,18181,17514,16872,37.625874,127.04665
142,강북구 수유1동,21802,21458,20861,37.6300865,127.0176014
143,강북구 수유2동,21929,21627,21401,37.6447027,127.0198777
144,강북구 수유3동,24037,23932,23373,37.638715,127.023125
145,강북구 삼양동,25497,24657,23775,37.6250518,127.0197725
146,강북구 미아동,22791,22724,21961,37.6270736,127.0269791
147,강북구 송중동,31272,30921,30026,37.616099,127.033738
148,강북구 송천동,28606,27788,26718,37.618282,127.023838
149,강북구 삼각산동,32852,32024,31383,37.6151568,127.0207209
150,강북구 우이동,21374,21063,20612,37.6479523,127.0118533
151,강북구 인수동,32441,31408,30545,37.6415105,127.0106307
152,도봉구,335032,326349,319168,,
153,도봉구 쌍문1동,22366,21939,21666,37.6480275,127.0261145
154,도봉구 쌍문2동,19968,19331,18837,37.6579935,127.0389254
155,도봉구 쌍문3동,17263,16891,16805,37.6489775,127.0278643
156,도봉구 쌍문4동,19820,19215,18628,37.656482,127.028425
157,도봉구 방학1동,29979,29187,28907,37.6641763,127.0407251
158,도봉구 방학2동,21093,20420,19841,37.6681842,127.0351005
159,도봉구 방학3동,28673,27870,27083,37.6591685,127.028036
160,도봉구 창1동,26192,25319,24788,37.6483046,127.0438683
161,도봉구 창2동,30510,29801,29321,37.6414033,127.0356387
162,도봉구 창3동,14739,14389,13923,37.6381278,127.0429556
163,도봉구 창4동,27794,27173,26578,37.6522276,127.0515994
164,도봉구 창5동,25787,25200,24687,37.6563436,127.0436793
165,도봉구 도봉1동,22235,21757,21219,37.6786913,127.0434369
166,도봉구 도봉2동,28613,27857,26885,37.669751,127.046575
167,노원구,537148,525898,514831,,
168,노원구 월계1동,23818,22903,22174,37.6199197,127.0630165
169,노원구 월계2동,27641,27493,26662,37.6325377,127.0508
170,노원구 월계3동,31550,30668,29999,37.6210475,127.0692485
171,노원구 공릉2동,40957,40235,41837,37.621332,127.083488
172,노원구 하계1동,29223,27836,26940,37.6405374,127.0725852
173,노원구 하계2동,23287,22682,21981,37.6320048,127.0679733
174,노원구 중계본동,25821,24856,23960,37.64784,127.080338
175,노원구 중계1동,28042,27544,26817,37.6525986,127.0775275
176,노원구 중계4동,21234,20698,19954,37.6587275,127.0780091
177,노원구 상계1동,40128,39110,38181,37.6799006,127.0549781
178,노원구 상계2동,21143,20673,20137,37.6574727,127.0678377
179,노원구 상계5동,25423,24708,24008,37.6627392,127.069498
180,노원구 상계8동,23830,22926,22567,37.6667854,127.0515874
181,노원구 상계9동,21879,21066,20506,37.664553,127.0638347
182,노원구 상계10동,16575,18272,18702,37.661274,127.060225
183,노원구 상계3.4동,26295,27115,26173,37.6729133,127.0832665
184,노원구 상계6.7동,34647,33509,32682,37.654882,127.0669541
185,노원구 중계2.3동,36666,35452,34224,37.6421829,127.0687126
186,노원구 공릉1동,38989,38152,37327,37.624874,127.073838
187,은평구,483983,483415,476978,,
188,은평구 녹번동,38457,37790,37162,37.6021944,126.9298245
189,은평구 불광1동,40840,39907,38728,37.6103876,126.9320747
190,은평구 갈현1동,24473,23333,21970,37.623707,126.916675
191,은평구 갈현2동,30140,29167,28526,37.6185866,126.9158385
192,은평구 구산동,33824,32945,32420,37.6117455,126.9103893
193,은평구 대조동,27902,27578,27204,37.614165,126.920813
194,은평구 응암1동,25638,31277,33274,37.6006884,126.926813
195,은평구 응암2동,25602,27752,28186,37.5946071,126.9230926
196,은평구 신사1동,28475,27741,27206,37.5978445,126.9117735
197,은평구 신사2동,21808,20956,20278,37.5902796,126.9084195
198,은평구 증산동,16145,15483,15002,37.5843063,126.9070404
199,은평구 수색동,8895,11327,12965,37.5835192,126.8936659
200,은평구 진관동,57914,57104,55934,37.634983,126.9210512
201,은평구 불광2동,29486,28635,27775,37.6208567,126.9257389
202,은평구 응암3동,26029,25518,24616,37.5922474,126.9157268
203,은평구 역촌동,48355,46902,45732,37.6044046,126.915114
204,서대문구,324112,322332,315923,,
205,서대문구 천연동,18662,18007,17341,37.5711247,126.9590332
206,서대문구 홍제1동,24962,24584,23840,37.5876988,126.9448779
207,서대문구 홍제3동,16364,15891,16199,37.5938295,126.9496737
208,서대문구 홍제2동,14562,14295,13756,37.586107,126.949338
209,서대문구 홍은1동,23165,23338,22940,37.5989056,126.9471111
210,서대문구 홍은2동,28370,27691,27205,37.5801972,126.9342509
211,서대문구 남가좌1동,16842,16099,15615,37.573295,126.9197232
212,서대문구 남가좌2동,27071,30875,30823,37.5784658,126.9238889
213,서대문구 북가좌1동,19079,18544,18062,37.57429,126.910194
214,서대문구 북가좌2동,33790,32937,31822,37.5815,126.9112
215,서대문구 충현동,18121,21221,20738,37.5648265,126.9546863
216,서대문구 북아현동,17494,16941,16188,37.5595,126.957025
217,서대문구 신촌동,24358,22895,23738,37.5640923,126.9418114
218,서대문구 연희동,41272,39014,37656,37.5739083,126.9351754
219,마포구,385803,381371,378526,,
220,마포구 용강동,22452,22276,22124,37.5422119,126.9426766
221,마포구 대흥동,13589,15850,15797,37.5557827,126.9424619
222,마포구 염리동,13392,12853,17736,37.547083,126.94565
223,마포구 신수동,23971,23523,22878,37.5471182,126.9351878
224,마포구 서교동,25971,26954,26461,37.5551015,126.914588
225,마포구 합정동,19097,18554,17659,37.5516561,126.9118888
226,마포구 망원1동,21856,21104,20329,37.5556222,126.9055969
227,마포구 망원2동,19414,19175,18733,37.5602495,126.9023578
228,마포구 연남동,16871,16647,15878,37.564501,126.922027
229,마포구 성산1동,20123,19667,19195,37.5634083,126.90785
230,마포구 성산2동,41570,40669,39920,37.568618,126.9090061
231,마포구 상암동,32795,31879,31453,37.578325,126.8946875
232,마포구 도화동,22604,21945,21343,37.5415123,126.9498798
233,마포구 서강동,26115,25335,25582,37.5477577,126.9321095
234,마포구 공덕동,40582,38644,37803,37.550192,126.960025
235,마포구 아현동,25401,26296,25635,37.547125,126.95215
236,양천구,462023,456830,450097,,
237,양천구 목1동,32183,31605,30841,37.5303777,126.8712323
238,양천구 목2동,31526,30699,30142,37.5461131,126.8717128
239,양천구 목3동,23120,22607,21969,37.5448009,126.8644431
240,양천구 목4동,26892,26133,25578,37.532425,126.86835
