,구동명,202001,202101,202201
453,종로구,162106,158581,153656
454,종로구 사직동,9840,9825,9612
455,종로구 삼청동,3023,2888,2751
456,종로구 부암동,10542,10285,9782
457,종로구 평창동,18806,18586,18320
458,종로구 무악동,8753,8565,8291
459,종로구 교남동,10764,10587,10189
460,종로구 가회동,4479,4417,4176
461,종로구 종로1.2.3.4가동,8459,8421,8659
462,종로구 종로5.6가동,5848,5672,5449
463,종로구 이화동,8498,8071,7701
464,종로구 창신1동,6079,5939,5651
465,종로구 창신2동,9807,9478,9040
466,종로구 창신3동,7282,7077,6720
467,종로구 숭인1동,6528,6389,6115
468,종로구 숭인2동,9903,10199,10195
469,종로구 청운효자동,12983,12622,12137
470,종로구 혜화동,20512,19560,18868
471,중구,136647,134400,131651
472,중구 소공동,3063,3030,3396
473,중구 회현동,5852,5730,5431
474,중구 명동,3614,3757,3729
475,중구 필동,5043,4772,4652
476,중구 장충동,5610,5400,5283
477,중구 광희동,6329,6419,6351
478,중구 을지로동,2002,1962,1920
479,중구 신당5동,10959,10864,10681
480,중구 황학동,13726,13508,13449
481,중구 중림동,12922,12753,12288
482,중구 신당동,9267,9201,9128
483,중구 다산동,15040,14708,14258
484,중구 약수동,17748,17259,16867
485,중구 청구동,14488,14219,13825
486,중구 동화동,10984,10818,10393
487,용산구,246044,244468,236799
488,용산구 후암동,18501,18172,17283
489,용산구 용산2가동,11860,11248,10721
490,용산구 남영동,8420,8142,7835
491,용산구 원효로2동,14698,14286,13865
492,용산구 효창동,10349,10374,10135
493,용산구 용문동,12616,12439,11967
494,용산구 이촌1동,29334,28894,26589
495,용산구 이촌2동,8996,8793,8335
496,용산구 이태원1동,9225,8750,8087
497,용산구 이태원2동,10837,10784,10575
498,용산구 서빙고동,14166,14026,13880
499,용산구 보광동,15986,15462,14695
500,용산구 청파동,20649,20403,20042
501,용산구 원효로1동,16715,16747,16568
502,용산구 한강로동,19750,22176,23364
503,용산구 한남동,23942,23772,22858
504,성동구,308631,299912,292158
505,성동구 왕십리2동,17741,17405,16806
506,성동구 마장동,23985,23415,22956
507,성동구 사근동,13484,13372,13370
