,종목코드,회사명,시장구분,업종,업종명,항목명,2022,2021,2020,cc,est_dt,induty_code,address,corp_code,corp_name,stock_code,rlgnm,gu,x,y
5,027410,BGF,유가증권시장상장법인,649,기타 금융업,영업이익,"11,499,330,314","14,640,997,513","26,355,506,906",00219097,19941201,64992,서울특별시 강남구 테헤란로 405,00219097,BGF,027410,서울특별시,강남구,127.049820017,37.505195121
6,282330,BGF리테일,유가증권시장상장법인,471,종합 소매업,영업이익(손실),"199,441,703,668","162,204,243,583","196,623,293,754",01263022,20171101,47122,서울특별시 강남구 테헤란로 405 BGF사옥,01263022,BGF리테일,282330,서울특별시,강남구,127.049820017,37.505195121
7,032790,BNGT,코스닥시장상장법인,465,기계장비 및 관련 물품 도매업,영업이익(손실),"121,670,608","-261,517,233","-3,428,136,777",00110884,19730921,465,서울특별시 서초구 효령로 83 엠젠플러스빌딩 (방배동),00110884,엠젠솔루션,032790,서울특별시,서초구,126.993324604,37.480360753
8,001460,BYC,유가증권시장상장법인,141,봉제의복 제조업,영업이익,"26,711,346,464","22,940,934,002","23,393,686,890",00122579,19550513,14120,서울특별시 영등포구 도림천로21길 3,00122579,BYC,001460,서울특별시,영등포구,126.901494133,37.486653061
11,035760,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,영업이익,"296,876,105,378","272,067,865,192","269,385,174,265",00265324,19941216,602,서울특별시 서초구  과천대로 870-13,00265324,CJ ENM,035760,서울특별시,서초구,126.987984937,37.469046710
12,311690,CJ 바이오사이언스,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,영업이익(손실),"-10,108,067,067","-8,513,222,577","-4,518,862,465",01071041,20091118,701,서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층,01071041,CJ 바이오사이언스,311690,서울특별시,중구,126.974434559,37.557851588
13,097950,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,영업이익,"1,524,429,392,000","1,359,551,440,000","896,857,873,000",00635134,20070904,10720,서울특별시 중구  동호로 330,00635134,CJ제일제당,097950,서울특별시,중구,127.003293395,37.564009128
16,056000,COWON,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,영업이익(손실),"-6,203,980,662","352,752,492","-3,572,681,847",00361266,19960911,582,서울특별시 강남구 언주로 540 코원타워 5층,00361266,코원플레이,056000,서울특별시,강남구,127.041052443,37.506601532
18,083660,CSA 코스믹,코스닥시장상장법인,204,기타 화학제품 제조업,영업이익(손실),"1,999,698,281","-787,279,044","-5,727,834,998",00406037,19891107,204,서울특별시 강남구 학동로30길 20 -,00406037,CSA 코스믹,083660,서울특별시,강남구,127.032062915,37.512786675
20,012030,DB,유가증권시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",영업이익(손실),"23,472,667,404","26,874,196,003","18,493,009,586",00163345,19770315,62021,서울특별시 강남구 삼성로96길 23 7층,00163345,DB,012030,서울특별시,강남구,127.057665430,37.509329737
