,id,name,gu_nm,platplc,y,x,est_yyyymmdd,lcd,qr,count,x_5179,y_5179
0,301, 경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞,37.57579422,126.9714508,2015-10-07,20.0,0.0,20.0,953328.5887398667,1953066.4630053833
1,302, 경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.9740601,2015-10-07,0.0,12.0,12.0,953559.0889280764,1953082.0991731766
2,303, 광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189 세종로공원,37.57176971,126.9746628,2015-10-07,0.0,8.0,8.0,953609.7170859175,1952618.3720647956
3,305, 종로구청 옆,종로구,서울특별시 종로구 세종로 84-1,37.57255936,126.9783325,2015-01-07,0.0,16.0,16.0,953934.2613277426,1952704.174484038
4,307, 서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55 서울역사박물관 앞,37.56999969,126.9710999,2015-10-07,0.0,11.0,11.0,953293.9849653029,1952423.7618563143
5,308, 광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82 광화문S타워 앞,37.56996918,126.973938,2015-10-07,0.0,31.0,31.0,953544.5942697661,1952418.9700154709
6,309, 광화문역 6번출구 옆 B,종로구,서울특별시 종로구 새문안로 102-2 가로판매대,37.56996155,126.9761581,2015-10-07,0.0,13.0,13.0,953740.6432333359,1952417.0282328518
7,314, 국립현대미술관,종로구,서울특별시 종로구 삼청로 30 국립현대미술관 서울관,37.5797081,126.9808579,2015-10-07,0.0,10.0,10.0,954161.6502269654,1953496.0581399712
8,316, 종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.9817886,2015-10-07,0.0,8.0,8.0,954238.1302413609,1952462.5179496547
9,326, 안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.57624054,126.9861603,2015-10-07,19.0,0.0,19.0,954627.7319322369,1953108.7748054138
10,327, 낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.57335663,126.9874649,2015-10-07,0.0,10.0,10.0,954741.1841022592,1952788.189606057
11,328, 탑골공원 앞,종로구,서울특별시 종로구 종로 99 탑골공원 앞,37.57039642,126.9881897,2015-10-07,0.0,11.0,11.0,954803.3982685712,1952459.4198056657
12,329, 청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93 파고다타워,37.56848526,126.9878845,2015-10-07,8.0,0.0,8.0,954775.2911202754,1952247.5328149942
13,334, 종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.5705986,126.9917908,2015-10-07,0.0,10.0,10.0,955121.5252843492,1952480.1246735095
14,335, 종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129 15번출구 앞,37.57019806,126.9912567,2015-10-07,0.0,10.0,10.0,955074.119554359,1952435.941948394
15,337, 창경궁 입구,종로구,서울특별시 종로구 창경궁로 185 창경궁 입구,37.57897949,126.9964752,2015-10-07,5.0,0.0,5.0,955540.1768041556,1953407.7168498873
16,338, 세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109 세운스퀘어 앞,37.57095718,126.9971237,2015-10-07,18.0,0.0,18.0,955592.6742119294,1952517.3736787424
17,339, 종로4가 사거리,종로구,서울특별시 종로구 종로 185 종로4가 사거리,37.57106781,126.9981918,2015-10-07,10.0,0.0,10.0,955687.0607268524,1952529.143285693
18,340, 혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1 혜화동 로터리,37.58562851,127.000679,2015-10-07,0.0,8.0,8.0,955915.2839307034,1954143.4131292654
19,341, 혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤,37.58156967,127.0017853,2015-10-07,0.0,8.0,8.0,956010.5707603615,1953692.5852663368
20,342, 대학로 마로니에공원,종로구,서울특별시 종로구 대학로 104 대학로 마로니에공원,37.57978439,127.002533,2015-10-07,0.0,22.0,22.0,956075.5398612261,1953494.167083386
21,343, 예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 충신동 60,37.57561111,127.0046997,2015-10-07,0.0,6.0,6.0,956264.4116004211,1953030.150946521
22,344, 성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.57403564,127.0067215,2015-10-07,10.0,0.0,10.0,956442.0223547517,1952854.4210192717
23,345, 서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.0007095,2015-10-07,18.0,0.0,18.0,955910.7116341335,1952776.3905067705
24,348, 독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.9607849,2016-06-01,14.0,0.0,14.0,952384.3749510845,1952654.0934822052
25,349, 사직동주민센터,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.9685898,2016-06-01,7.0,0.0,7.0,953076.2952946249,1953127.5622105508
26,351, 청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.58507919,126.9706192,2016-06-01,8.0,0.0,8.0,953260.9619198748,1954097.000974525
27,352, 중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191 중앙고입구 삼거리,37.58341599,126.9852371,2016-06-01,10.0,0.0,10.0,954550.57443869,1953905.303527298
28,353, 재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19 재동초교 앞 삼거리,37.57938766,126.9849472,2016-06-01,8.0,0.0,8.0,954522.5280884148,1953458.519407489
29,354, 포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3 포르투갈 대사관 앞,37.57915497,126.9889603,2016-06-01,10.0,0.0,10.0,954876.733659418,1953430.768451301
30,355, 서울사대부속초교 앞,종로구,서울특별시 종로구 연건동 178-3 서울사대부속초교 앞,37.57650757,127.0024567,2016-06-01,0.0,15.0,15.0,956066.8775154962,1953130.6553217282
31,356, KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65 KT혜화지사 앞,37.57714462,127.0020599,2016-06-01,0.0,15.0,15.0,956032.2143948249,1953201.5185667367
32,358, 성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.58250046,126.9985352,2016-06-01,13.0,0.0,13.0,955724.1553932007,1953797.3789004125
33,359, 원남동사거리,종로구,서울특별시 종로구 율곡로 169 원남동사거리,37.57606125,126.9976807,2016-06-01,8.0,0.0,8.0,955644.8887183352,1953083.382299748
34,361, 동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.0159073,2016-06-01,10.0,0.0,10.0,957252.7076725614,1952762.1728532843
35,362, 청계8가 사거리,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57222366,127.0227051,2016-06-01,10.0,0.0,10.0,957852.4098005297,1952646.1010538808
36,363, 신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285,2016-06-01,13.0,0.0,13.0,957867.103078624,1953019.7410881293
37,364, 창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.0150833,2016-06-01,0.0,8.0,8.0,957183.4331884533,1953438.4334164944
38,367, 독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57384872,126.9586945,2016-06-01,0.0,13.0,13.0,952200.942864508,1952857.0320370293
39,368, SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.9805374,2016-06-01,15.0,0.0,15.0,954126.935087882,1952335.7386052385
40,369, 광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5 광화문 시민열린마당,37.57549286,126.9785004,2016-06-01,0.0,12.0,12.0,953950.8942146926,1953029.5500025512
41,385, 종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.9826584,2016-07-06,10.0,0.0,10.0,954314.5979822078,1952399.8811104777
42,388, 동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,2016-09-02,10.0,0.0,10.0,955997.5270486234,1954154.8267633158
43,393, 동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308 동대문역 8번출구,37.57014084,127.0093765,2018-01-26,12.0,0.0,12.0,956674.2120882235,1952421.0847009579
44,394, 경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35 경희궁자이 3단지,37.56748962,126.9659195,2018-01-26,0.0,15.0,15.0,952834.9289512411,1952147.8692236643
45,395, 경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99 경희궁 자이 3단지,37.56885529,126.9645615,2018-01-26,8.0,0.0,8.0,952715.8653179584,1952300.0661914393
46,397, 종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200 종묘공영주차장 건너편,37.57048035,126.9966354,2018-04-30,13.0,0.0,13.0,955549.2703911214,1952464.7026171589
47,446, 상명대입구,종로구,서울특별시 종로구 홍지문길 1 상명대 입구,37.60012817,126.9578323,2017-08-01,13.0,0.0,13.0,952141.6360646588,1955773.0594306397
48,447, 신영동삼거리,종로구,서울특별시 종로구 진흥로 499 신영동 삼거리,37.60399246,126.9619446,2017-08-01,0.0,6.0,6.0,952507.0975073744,1956199.698326986
49,449, 일성아파트,종로구,서울특별시 종로구 평창문화로 119 일성아파트,37.60871887,126.9728622,2017-08-01,10.0,0.0,10.0,953473.7199261773,1956718.6076380834
50,450, 효자동 삼거리,종로구,서울특별시 종로구 효자로13길 45 종로구 궁정동 98-2,37.58360291,126.9725494,2017-09-07,0.0,51.0,51.0,953430.4608883676,1953932.255761719
51,451, 청와대앞길,종로구,서울특별시 종로구 청와대로 73 종로구 세종로 1-54,37.58351517,126.9796677,2017-09-07,8.0,0.0,8.0,954058.8986669495,1953919.0162983069
52,452, 동대문 종합시장 버스정류장,종로구,서울특별시 종로구 종로 239 동대문 종합시장 버스정류장,37.57123947,127.0044098,2018-10-23,0.0,13.0,13.0,956236.2547275049,1952545.273898513
53,453, 종로오가 지하쇼핑센터 14번출구,종로구,서울특별시 종로구 종로 지하 200 종로5가 지하쇼핑센터 14번출구,37.57114029,127.0006714,2018-08-31,10.0,0.0,10.0,955906.069762098,1952536.0181040703
54,454, 종로2가 버스정류장 (종각방향),종로구,서울특별시 종로구 종로 79-1 종로2가 버스정류장 (종각방향),37.57035828,126.9863815,2018-08-31,13.0,0.0,13.0,954643.6967167058,1952456.059628058
