,사용월,호선명,지하철역,0405O,0405D,0506O,0506D,0607O,0607D,0708O,0708D,0809O,0809D,0910O,0910D,1011O,1011D,1112O,1112D,1213O,1213D,1314O,1314D,1415O,1415D,1516O,1516D,1617O,1617D,1718O,1718D,1819O,1819D,1920O,1920D,2021O,2021D,2122O,2122D,2223O,2223D,2324O,2324D,0001O,0001D,0102O,0102D,0203O,0203D,0304O,0304D,code,y,x,year,x_5179,y_5179
0,202201,1호선,동대문,764,14,10341,1639,7589,4753,11238,9014,16677,19698,15203,18791,14212,17998,15795,20831,19069,21310,20990,21312,23318,20607,24418,18830,24094,17316,23815,16653,20708,17043,14057,16101,13279,10749,12969,12269,5802,7185,1715,5806,8,1117,0,0,2,2,0,0,155.0,37.57142,127.009745,2022,956707.4940849433,1952562.831297785
1,202101,1호선,동대문,542,15,11232,1512,6920,4611,10340,7951,14857,17036,13070,16659,11682,14967,13016,16227,15784,17886,16952,17782,19355,17424,20306,16095,20926,14624,20108,14745,19005,15122,12907,15188,11741,10244,9187,10156,4139,6416,1426,6405,6,999,0,2,0,0,0,0,155.0,37.57142,127.009745,2021,956707.4940849433,1952562.831297785
2,202001,1호선,동대문,725,8,12681,1786,9016,6186,13096,10733,20234,22679,20559,25891,18843,25745,21450,33140,26737,35736,30178,34722,31637,33487,33030,31988,32948,28574,32327,28109,30813,28165,20918,27472,16799,19239,15080,16508,12694,14426,6781,11746,911,4037,22,90,1,4,0,0,155.0,37.57142,127.009745,2020,956707.4940849433,1952562.831297785
3,201901,1호선,동대문,621,7,15328,2164,10315,6673,14893,12227,24080,27692,23381,28386,20712,29569,22747,35954,28260,38658,31402,38011,34392,35395,34450,33461,34186,29483,34722,29805,33085,29970,22672,31274,18241,21650,16317,16942,13782,16009,7712,13475,1071,4691,3,35,0,0,0,0,155.0,37.57142,127.009745,2019,956707.4940849433,1952562.831297785
4,201801,1호선,동대문,757,40,14824,2140,10219,7203,15538,12273,25627,27818,23328,29807,20195,27784,21419,33876,27627,35692,31489,36191,32494,33587,32972,32433,33319,28663,33433,29276,33115,30500,23160,31547,17500,23122,15758,18199,13101,16811,7422,13762,999,4416,0,90,0,0,0,0,155.0,37.57142,127.009745,2018,956707.4940849433,1952562.831297785
5,202201,1호선,동묘앞,111,1,2206,727,2815,3923,4877,6311,8215,14327,6954,14305,7511,17405,11602,23815,17481,28354,23659,30670,30219,30041,32926,23896,31917,15992,26078,10771,16570,8062,7140,5910,4923,4372,4308,5958,2616,3634,866,1774,4,854,0,0,0,0,0,0,159.0,37.572627,127.016429,2022,957298.4248585504,1952693.6833524252
6,202101,1호선,동묘앞,78,2,2391,738,2761,3527,4457,5734,6977,14687,5588,13409,6386,14013,9706,19323,14318,23997,19975,27026,25755,26641,28426,21195,27605,14522,23169,10057,16419,7615,6999,5208,4789,3885,4265,4664,1982,2495,517,1502,1,704,0,8,0,0,0,0,159.0,37.572627,127.016429,2021,957298.4248585504,1952693.6833524252
7,202001,1호선,동묘앞,130,2,3039,732,3164,4162,5512,8270,8602,19942,8322,15828,9436,18251,14166,27406,19890,33268,26039,35757,33350,37431,37890,30838,38236,22196,35145,15236,25762,10989,11279,7789,6649,5754,5674,5751,3794,5819,1769,4130,244,2362,6,152,0,11,0,0,159.0,37.572627,127.016429,2020,957298.4248585504,1952693.6833524252
8,201901,1호선,동묘앞,93,3,3326,832,3418,3433,6088,8945,9415,22873,8843,17002,9745,19744,14192,28601,20731,35160,27534,40084,36068,40068,41458,33617,40873,23502,37880,16292,28274,11369,12349,8521,7475,6051,6022,5914,4480,6355,2215,4516,235,3138,2,242,1,0,0,0,159.0,37.572627,127.016429,2019,957298.4248585504,1952693.6833524252
9,201801,1호선,동묘앞,123,19,3046,706,3677,3422,6004,8916,9676,21913,8646,17299,8616,17046,12897,23844,18421,28825,24646,33117,30904,33779,35193,27347,34784,19768,30973,14697,25517,11073,11918,9009,7144,6183,5908,6439,4484,6735,2241,4390,207,3205,4,257,1,2,0,0,159.0,37.572627,127.016429,2018,957298.4248585504,1952693.6833524252
10,202201,1호선,시청,27,0,1610,4157,2623,17377,5704,52313,7236,155471,7552,70487,8879,27920,13231,26945,14892,23890,18034,24121,23734,20685,30906,17381,36316,15454,66415,15695,122934,14755,44810,6560,40906,4190,45218,5342,12194,1997,2405,912,8,99,0,0,0,0,0,0,151.0,37.564718,126.977108,2022,953821.290443631,1951834.8148018015
11,202101,1호선,시청,18,1,1489,2990,2235,14570,4971,47793,6119,131340,6335,62133,7012,23760,10198,19942,11459,17031,13648,17361,18213,15206,24043,12769,27737,10571,55134,10643,108895,9871,41170,4716,34710,3216,33243,3675,9286,1306,2254,629,4,48,0,1,0,0,0,0,151.0,37.564718,126.977108,2021,953821.290443631,1951834.8148018015
12,202001,1호선,시청,55,0,1999,3976,3497,19177,7417,60452,9330,192100,11934,83874,14763,45181,20957,45937,24807,44684,30626,46711,38849,41838,51606,33414,58397,27894,77658,26527,158475,26415,66799,15223,52413,8853,53343,7879,34039,5823,12937,3747,556,1063,7,38,0,0,0,0,151.0,37.564718,126.977108,2020,953821.290443631,1951834.8148018015
13,201901,1호선,시청,74,0,2409,4049,3532,19241,7703,66876,9978,209349,12818,88793,16470,49343,22512,45645,26040,41405,34728,46800,40497,40429,51586,34787,54591,29029,80258,28534,170225,28331,76142,15634,57394,9141,58745,8204,38156,6345,14478,4079,981,1256,3,29,0,0,0,0,151.0,37.564718,126.977108,2019,953821.290443631,1951834.8148018015
