,sgg_nm,bjd_nm,sggbjd_nm,202001,202101,202201,y,x,x_5179,y_5179
1,종로구,사직동,종로구 사직동,9840,9825,9612,37.576196,126.9688397,953098.2763557023,1953112.3388816142
2,종로구,삼청동,종로구 삼청동,3023,2888,2751,37.5850126,126.981836,954251.2596495344,1954084.0910467277
3,종로구,부암동,종로구 부암동,10542,10285,9782,37.5924785,126.9641,952690.0611426757,1954921.1853983086
4,종로구,평창동,종로구 평창동,18806,18586,18320,37.6063166,126.9681871,953059.5731278484,1956454.4127737721
5,종로구,무악동,종로구 무악동,8753,8565,8291,37.5760032,126.958148,952154.0632502701,1953096.3397105318
6,종로구,교남동,종로구 교남동,10764,10587,10189,37.5719391,126.9619364,952486.002252111,1952643.524389904
7,종로구,가회동,종로구 가회동,4479,4417,4176,37.5800784,126.9847995,954509.9068365894,1953535.2252761496
8,종로구,종로1.2.3.4가동,종로구 종로1.2.3.4가동,8459,8421,8659,37.574461,126.9902618,954988.8275108016,1952909.3705669346
9,종로구,종로5.6가동,종로구 종로5.6가동,5848,5672,5449,37.5720148,127.0050414,956292.4824688336,1952630.9989524528
10,종로구,이화동,종로구 이화동,8498,8071,7701,37.577008,127.004338,956233.290473104,1953185.2975552476
11,종로구,창신1동,종로구 창신1동,6079,5939,5651,37.570758,127.016363,957291.5294337772,1952486.357113923
12,종로구,창신2동,종로구 창신2동,9807,9478,9040,37.574458,127.010863,956807.9755356243,1952899.3678794857
13,종로구,창신3동,종로구 창신3동,7282,7077,6720,37.5779055,127.0150474,957179.445081946,1953279.9357844198
14,종로구,숭인1동,종로구 숭인1동,6528,6389,6115,37.5778049,127.0156274,957230.6009468698,1953268.5105076646
15,종로구,숭인2동,종로구 숭인2동,9903,10199,10195,37.574867,127.019988,957613.9726824616,1952940.5887610777
16,종로구,청운효자동,종로구 청운효자동,12983,12622,12137,37.5841367,126.9706519,953263.2597752287,1953992.4197176641
17,종로구,혜화동,종로구 혜화동,20512,19560,18868,37.5869186,127.0005764,955906.9863862863,1954286.5907818547
19,중구,소공동,중구 소공동,3063,3030,3396,37.562442,126.977025,953812.5551671307,1951582.344683703
20,중구,회현동,중구 회현동,5852,5730,5431,37.557698,126.977662,953865.8882822746,1951055.7088857861
21,중구,명동,중구 명동,3614,3757,3729,37.560042,126.98585,954590.499201986,1951311.7763385465
22,중구,필동,중구 필동,5043,4772,4652,37.5601529,126.9955699,955449.0283186096,1951319.4283880796
23,중구,장충동,중구 장충동,5610,5400,5283,37.5618946,127.0078812,956537.3739485791,1951506.8965517632
24,중구,광희동,중구 광희동,6329,6419,6351,37.564494,127.0050623,956289.9333447155,1951796.5940732672
25,중구,을지로동,중구 을지로동,2002,1962,1920,37.5667163,126.9913342,955078.872452765,1952049.6208105164
26,중구,신당5동,중구 신당5동,10959,10864,10681,37.565142,127.02185,957772.9018455863,1951860.8106425891
27,중구,황학동,중구 황학동,13726,13508,13449,37.5673446,127.0212812,957723.9136608876,1952105.4335991975
28,중구,중림동,중구 중림동,12922,12753,12288,37.5548629,126.9644863,952700.3790050047,1950747.7174322084
29,중구,신당동,중구 신당동,9267,9201,9128,37.5620973,127.0145478,957126.2702023435,1951526.32298607
30,중구,다산동,중구 다산동,15040,14708,14258,37.5542861,127.0082322,956563.9570718363,1950662.6108061324
31,중구,약수동,중구 약수동,17748,17259,16867,37.552479,127.0090022,956630.9215735928,1950461.767100987
32,중구,청구동,중구 청구동,14488,14219,13825,37.557083,127.014687,957135.6915047083,1950969.9489994242
33,중구,동화동,중구 동화동,10984,10818,10393,37.5600562,127.0194239,957555.7579398599,1951297.6603106149
35,용산구,후암동,용산구 후암동,18501,18172,17283,37.5486375,126.9781344,953902.0314740784,1950050.2614156492
36,용산구,용산2가동,용산구 용산2가동,11860,11248,10721,37.5461327,126.9855777,954558.0047638325,1949768.7433872577
37,용산구,남영동,용산구 남영동,8420,8142,7835,37.5457586,126.9748403,953609.2674035936,1949732.4829412447
38,용산구,원효로2동,용산구 원효로2동,14698,14286,13865,37.53435,126.951538,951543.4266769227,1948478.5121220339
39,용산구,효창동,용산구 효창동,10349,10374,10135,37.5424569,126.9618498,952459.6277323769,1949372.6658234096
40,용산구,용문동,용산구 용문동,12616,12439,11967,37.5389,126.957562,952078.5625875317,1948980.223241475
41,용산구,이촌1동,용산구 이촌1동,29334,28894,26589,37.5214167,126.9732,953449.2403467153,1947032.693764676
42,용산구,이촌2동,용산구 이촌2동,8996,8793,8335,37.5262575,126.9547071,951818.2131979885,1947579.0653669708
43,용산구,이태원1동,용산구 이태원1동,9225,8750,8087,37.5325225,126.9950384,955385.6218681599,1948254.2358314185
44,용산구,이태원2동,용산구 이태원2동,10837,10784,10575,37.5418962,126.9901481,954959.1895301021,1949296.5272956311
45,용산구,서빙고동,용산구 서빙고동,14166,14026,13880,37.520458,126.994663,955345.2632392608,1946915.9268962315
46,용산구,보광동,용산구 보광동,15986,15462,14695,37.5263257,127.0001818,955836.4011594933,1947564.3086751902
47,용산구,청파동,용산구 청파동,20649,20403,20042,37.5488,126.9674,952953.9245326534,1950073.6076413228
48,용산구,원효로1동,용산구 원효로1동,16715,16747,16568,37.5372185,126.9676811,952971.4805534921,1948788.5610000093
49,용산구,한강로동,용산구 한강로동,19750,22176,23364,37.5281071,126.9692332,953102.8992211388,1947776.9262200035
50,용산구,한남동,용산구 한남동,23942,23772,22858,37.53455,127.0005,955869.3631950099,1948476.598632861
52,성동구,왕십리2동,성동구 왕십리2동,17741,17405,16806,37.561108,127.030488,958533.5224218979,1951409.4130291205
53,성동구,마장동,성동구 마장동,23985,23415,22956,37.566325,127.045388,959852.2714330523,1951981.7421934083
54,성동구,사근동,성동구 사근동,13484,13372,13370,37.5614846,127.0453315,959844.6837261152,1951444.7493585835
55,성동구,행당1동,성동구 행당1동,16449,14375,14201,37.558567,127.036188,959035.5481472273,1951125.0029340724
56,성동구,행당2동,성동구 행당2동,24614,24089,23345,37.558208,127.02935,958431.404556977,1951088.1759886432
57,성동구,응봉동,성동구 응봉동,16138,15795,15427,37.5531636,127.0334357,958789.4846310675,1950526.7277249363
58,성동구,금호1가동,성동구 금호1가동,15963,15796,15303,37.5549008,127.0216354,957748.1667819871,1950724.6994565437
59,성동구,금호4가동,성동구 금호4가동,15172,14828,14436,37.5471987,127.02241,957812.2429997352,1949869.8451218787
60,성동구,성수1가1동,성동구 성수1가1동,17162,17003,16771,37.542108,127.04965,960215.7875404195,1949293.1856828302
61,성동구,성수1가2동,성동구 성수1가2동,14641,13692,12817,37.5462991,127.0443325,959748.2870332213,1949760.4279187296
62,성동구,성수2가1동,성동구 성수2가1동,17698,17093,16270,37.5395907,127.0540659,960604.568597119,1949012.0463448828
63,성동구,성수2가3동,성동구 성수2가3동,11705,11446,10958,37.5482223,127.0552645,960714.9874633278,1949969.1720000226
64,성동구,송정동,성동구 송정동,11419,11089,10892,37.5545217,127.0696004,961984.5327384514,1950662.1613470013
65,성동구,용답동,성동구 용답동,13368,12701,12543,37.5640618,127.0555515,960748.6484334145,1951726.3585590026
66,성동구,왕십리도선동,성동구 왕십리도선동,27816,27467,26924,37.5678257,127.0255501,958101.1757747286,1952156.8972623353
67,성동구,금호2.3가동,성동구 금호2.3가동,24058,23548,22880,37.5532922,127.0209487,957686.6037310218,1950546.5427538909
68,성동구,옥수동,성동구 옥수동,27218,26798,26259,37.5436386,127.0134622,957019.7931717185,1949478.9242782625
70,광진구,화양동,광진구 화양동,25655,25502,26185,37.5465421,127.0713152,962131.957893229,1949776.1772921772
71,광진구,군자동,광진구 군자동,22252,21863,21452,37.5551217,127.0758373,962535.7160611028,1950726.2239709978
72,광진구,중곡1동,광진구 중곡1동,16272,16155,15820,37.560675,127.080038,962909.4985201578,1951340.6661460134
73,광진구,중곡2동,광진구 중곡2동,22599,22257,21754,37.560308,127.081487,963037.291615152,1951299.3786567287
74,광진구,중곡3동,광진구 중곡3동,17294,16845,16363,37.5688084,127.0801736,962925.505652949,1952242.9697241406
75,광진구,중곡4동,광진구 중곡4동,30528,29694,28926,37.5590865,127.0894538,963740.3237505165,1951160.7566457523
76,광진구,능동,광진구 능동,11972,11893,11589,37.5537803,127.0804994,962946.8350616557,1950575.555175908
