,ADM_SECT_C,geometry,idx
12512,11560,"POLYGON ((945135.230213883 1946765.54807064, 945135.230213883 1946865.54807064, 945235.230213883 1946865.54807064, 945235.230213883 1946765.54807064, 945135.230213883 1946765.54807064))",10658
12517,11560,"POLYGON ((945135.230213883 1947265.54807064, 945135.230213883 1947365.54807064, 945235.230213883 1947365.54807064, 945235.230213883 1947265.54807064, 945135.230213883 1947265.54807064))",10659
12518,11560,"POLYGON ((945135.230213883 1947365.54807064, 945135.230213883 1947465.54807064, 945235.230213883 1947465.54807064, 945235.230213883 1947365.54807064, 945135.230213883 1947365.54807064))",10660
12523,11560,"POLYGON ((945135.230213883 1950365.54807064, 945135.230213883 1950465.54807064, 945235.230213883 1950465.54807064, 945235.230213883 1950365.54807064, 945135.230213883 1950365.54807064))",10661
12524,11560,"POLYGON ((945135.230213883 1950465.54807064, 945135.230213883 1950565.54807064, 945235.230213883 1950565.54807064, 945235.230213883 1950465.54807064, 945135.230213883 1950465.54807064))",10662
12531,11560,"POLYGON ((945235.230213883 1946665.54807064, 945235.230213883 1946765.54807064, 945335.230213883 1946765.54807064, 945335.230213883 1946665.54807064, 945235.230213883 1946665.54807064))",10663
12532,11560,"POLYGON ((945235.230213883 1946765.54807064, 945235.230213883 1946865.54807064, 945335.230213883 1946865.54807064, 945335.230213883 1946765.54807064, 945235.230213883 1946765.54807064))",10664
12533,11560,"POLYGON ((945235.230213883 1946865.54807064, 945235.230213883 1946965.54807064, 945335.230213883 1946965.54807064, 945335.230213883 1946865.54807064, 945235.230213883 1946865.54807064))",10665
12534,11560,"POLYGON ((945235.230213883 1946965.54807064, 945235.230213883 1947065.54807064, 945335.230213883 1947065.54807064, 945335.230213883 1946965.54807064, 945235.230213883 1946965.54807064))",10666
12535,11560,"POLYGON ((945235.230213883 1947065.54807064, 945235.230213883 1947165.54807064, 945335.230213883 1947165.54807064, 945335.230213883 1947065.54807064, 945235.230213883 1947065.54807064))",10667
12536,11560,"POLYGON ((945235.230213883 1947165.54807064, 945235.230213883 1947265.54807064, 945335.230213883 1947265.54807064, 945335.230213883 1947165.54807064, 945235.230213883 1947165.54807064))",10668
12537,11560,"POLYGON ((945235.230213883 1947265.54807064, 945235.230213883 1947365.54807064, 945335.230213883 1947365.54807064, 945335.230213883 1947265.54807064, 945235.230213883 1947265.54807064))",10669
12538,11560,"POLYGON ((945235.230213883 1947365.54807064, 945235.230213883 1947465.54807064, 945335.230213883 1947465.54807064, 945335.230213883 1947365.54807064, 945235.230213883 1947365.54807064))",10670
12545,11560,"POLYGON ((945235.230213883 1950165.54807064, 945235.230213883 1950265.54807064, 945335.230213883 1950265.54807064, 945335.230213883 1950165.54807064, 945235.230213883 1950165.54807064))",10671
12546,11560,"POLYGON ((945235.230213883 1950265.54807064, 945235.230213883 1950365.54807064, 945335.230213883 1950365.54807064, 945335.230213883 1950265.54807064, 945235.230213883 1950265.54807064))",10672
12547,11560,"POLYGON ((945235.230213883 1950365.54807064, 945235.230213883 1950465.54807064, 945335.230213883 1950465.54807064, 945335.230213883 1950365.54807064, 945235.230213883 1950365.54807064))",10673
12548,11560,"POLYGON ((945235.230213883 1950465.54807064, 945235.230213883 1950565.54807064, 945335.230213883 1950565.54807064, 945335.230213883 1950465.54807064, 945235.230213883 1950465.54807064))",10674
12549,11560,"POLYGON ((945235.230213883 1950565.54807064, 945235.230213883 1950665.54807064, 945335.230213883 1950665.54807064, 945335.230213883 1950565.54807064, 945235.230213883 1950565.54807064))",10675
12550,11560,"POLYGON ((945235.230213883 1950665.54807064, 945235.230213883 1950765.54807064, 945335.230213883 1950765.54807064, 945335.230213883 1950665.54807064, 945235.230213883 1950665.54807064))",10676
12551,11560,"POLYGON ((945235.230213883 1950765.54807064, 945235.230213883 1950865.54807064, 945335.230213883 1950865.54807064, 945335.230213883 1950765.54807064, 945235.230213883 1950765.54807064))",10677
12554,11560,"POLYGON ((945335.230213883 1946565.54807064, 945335.230213883 1946665.54807064, 945435.230213883 1946665.54807064, 945435.230213883 1946565.54807064, 945335.230213883 1946565.54807064))",10678
12555,11560,"POLYGON ((945335.230213883 1946665.54807064, 945335.230213883 1946765.54807064, 945435.230213883 1946765.54807064, 945435.230213883 1946665.54807064, 945335.230213883 1946665.54807064))",10679
12556,11560,"POLYGON ((945335.230213883 1946765.54807064, 945335.230213883 1946865.54807064, 945435.230213883 1946865.54807064, 945435.230213883 1946765.54807064, 945335.230213883 1946765.54807064))",10680
12557,11560,"POLYGON ((945335.230213883 1946865.54807064, 945335.230213883 1946965.54807064, 945435.230213883 1946965.54807064, 945435.230213883 1946865.54807064, 945335.230213883 1946865.54807064))",10681
12558,11560,"POLYGON ((945335.230213883 1946965.54807064, 945335.230213883 1947065.54807064, 945435.230213883 1947065.54807064, 945435.230213883 1946965.54807064, 945335.230213883 1946965.54807064))",10682
12559,11560,"POLYGON ((945335.230213883 1947065.54807064, 945335.230213883 1947165.54807064, 945435.230213883 1947165.54807064, 945435.230213883 1947065.54807064, 945335.230213883 1947065.54807064))",10683
12560,11560,"POLYGON ((945335.230213883 1947165.54807064, 945335.230213883 1947265.54807064, 945435.230213883 1947265.54807064, 945435.230213883 1947165.54807064, 945335.230213883 1947165.54807064))",10684
