,grid_idx,center,pop2020,pop2021,pop2022,od2020,od2021,od2022
12512,10658,POINT (945185.230213883 1946815.54807064),107371.00496719618,105513.76308072083,104381.62326439108,2801033.2298567034,1999210.8675668368,2293584.8233064665
12517,10659,POINT (945185.230213883 1947315.54807064),112302.09393359393,110405.34799317186,109173.76074253945,3002767.3106250204,2158068.0885316674,2476994.0956799677
12518,10660,POINT (945185.230213883 1947415.54807064),112083.05638283172,110219.51025238818,108984.84800305536,2991369.6411152817,2152090.8838771535,2470634.3227380672
12523,10661,POINT (945185.230213883 1950415.54807064),79744.90927691675,78388.64043784239,77092.52354475718,1293513.4887645873,978231.2439160197,1151486.0071887549
12524,10662,POINT (945185.230213883 1950515.54807064),78289.4345699074,76945.29439991536,75679.94488452403,1243504.8748297107,940566.108970816,1106697.2384390684
12531,10663,POINT (945285.230213883 1946715.54807064),108324.2072821441,106600.80417668032,105425.40459867712,2825006.6982089276,2013340.731983605,2310311.760061773
12532,10664,POINT (945285.230213883 1946815.54807064),106811.11424228782,105228.72900446551,104148.29788914621,2851493.2870825864,2036058.8967725907,2336419.281813284
12533,10665,POINT (945285.230213883 1946915.54807064),107127.11237445999,105546.41065242114,104464.57045780015,2876920.577636655,2057668.3137833404,2361254.942602359
12534,10666,POINT (945285.230213883 1947015.54807064),108339.51990745748,106488.25824728358,105411.5590321251,2950267.2249419983,2115409.9747200063,2428286.901351643
12535,10667,POINT (945285.230213883 1947115.54807064),108857.16099363053,107083.75832743346,106011.67285781306,2972166.597936527,2134028.4501278447,2449842.0765932333
12536,10668,POINT (945285.230213883 1947215.54807064),109757.49815952328,107990.5790415362,106896.53485230295,2984866.4111114345,2145801.0511077167,2463638.979858478
12537,10669,POINT (945285.230213883 1947315.54807064),109415.1678285891,107689.33058207942,106607.39941679158,2983908.171352839,2147612.1377630294,2466141.0944721103
12538,10670,POINT (945285.230213883 1947415.54807064),109414.53030515325,107725.98591055162,106622.43280890658,2965342.9678232656,2136712.4306460787,2454227.308837694
12545,10671,POINT (945285.230213883 1950215.54807064),79389.61575990962,78046.46659887573,76784.2994098229,1638192.5757355874,1214168.8410580219,1436688.1024181931
12546,10672,POINT (945285.230213883 1950315.54807064),76436.61450182942,75154.94463532121,73899.32733297655,1532015.26927849,1136809.4578222083,1347261.8935884293
12547,10673,POINT (945285.230213883 1950415.54807064),72579.93345693455,71381.57975535501,70193.16989670083,1408290.0797399336,1048208.6183098868,1244406.2946490063
12548,10674,POINT (945285.230213883 1950515.54807064),72082.28200054837,70883.09598995806,69695.22064608043,1360620.0064208412,1012494.7972001606,1201741.094312932
12549,10675,POINT (945285.230213883 1950615.54807064),69864.93593044434,68705.4745142821,67564.53426240289,1312460.7798263389,976379.5003557792,1158576.6185649796
12550,10676,POINT (945285.230213883 1950715.54807064),72107.48016223403,70864.1345154376,69688.11239682468,1264579.570631521,940445.7754391964,1115597.532225686
12551,10677,POINT (945285.230213883 1950815.54807064),68225.33044559576,66941.46938744653,65809.0437261505,1257058.3457111241,935384.7611460297,1107145.3257752662
12554,10678,POINT (945385.230213883 1946615.54807064),109000.54518309335,107285.22028540407,106058.89128132652,2984724.2923924434,2116686.0140722557,2427973.2548000775
12555,10679,POINT (945385.230213883 1946715.54807064),107613.23502951332,106010.76055002413,104874.02199302132,2893069.0595864593,2062480.1273413056,2367231.309077141
12556,10680,POINT (945385.230213883 1946815.54807064),106123.88036395908,104664.28458869805,103630.8990164532,2908469.763251963,2077901.6566118188,2385059.247129669
12557,10681,POINT (945385.230213883 1946915.54807064),105424.09745814804,104004.06885262202,103011.78704414607,2922245.642638071,2091766.2985471275,2401101.250913125
12558,10682,POINT (945385.230213883 1947015.54807064),108677.53995894705,107188.17662483714,106143.09455633248,2982486.412897048,2140631.0242022662,2458030.0569211887
12559,10683,POINT (945385.230213883 1947115.54807064),110035.22012239826,108439.70553687938,107398.07486924667,2991988.9424296194,2150855.3589003654,2470050.499867787
12560,10684,POINT (945385.230213883 1947215.54807064),108988.9169475753,107335.65310579751,106326.72018034474,2993091.4777272292,2154729.7592142527,2474881.861276247
12561,10685,POINT (945385.230213883 1947315.54807064),108709.51770221422,107097.40635258662,106102.97861749203,2982749.049184989,2150126.423534003,2470115.3299453636
12562,10686,POINT (945385.230213883 1947415.54807064),109542.22015178083,107936.1109721173,106903.29849503814,2958500.005181076,2135336.4593509147,2453816.9479228817
12563,10687,POINT (945385.230213883 1947515.54807064),109367.33560580829,107802.63100654501,106741.98827295628,2919252.0634856056,2109617.9369848366,2425151.1102267154
12564,10688,POINT (945385.230213883 1947615.54807064),110070.15733142216,108509.27350405206,107391.303434771,2865703.7487905202,2073489.4258583407,2384714.3326351116
12570,10689,POINT (945385.230213883 1950115.54807064),78698.05850780569,77474.45789305028,76181.92984727013,1738155.9198677933,1288023.9613107885,1522431.9671177382
12571,10690,POINT (945385.230213883 1950215.54807064),75639.82610729177,74464.06214992554,73236.94527108343,1557464.3111936382,1152041.5983087085,1367438.1539415643
