,pnu,rlgnm,rlgcd,sigungunm,lawdongnm,linm,bun,ji,naroadnm,naroadcd,namainbun,nasubbun,platplc,newplatplc,x,y,bdnm,mainpurpscd,mainpurpscdnm,etcpurps,platarea,archarea,bcrat,totarea,vlrat,heit,grndflrcnt,ugrndflrcnt,rideuseelvtcnt,emgenuseelvtcnt,useaprday,jijigucdnm,ilp2019,ilp2020,ilp2021,ilp2022,x_5179,y_5179,geometry,2020gas,2021gas,2022gas,2020elct,2021elct,2022elct,grid_idx,ADM_SECT_C,geometry_grids
0,1168011800109590021,서울특별시,11,강남구,도곡동,,959,21,남부순환로361길,116804166092,7,0,서울특별시 강남구 도곡동 959-21번지,서울특별시 강남구 남부순환로361길 7,127.037264289,37.4855843,리치원룸텔,04000,제2종근린생활시설,고시원,210.0,104.02,49.53,573.17,212.96,13.56,5,1,0,0,20111129.0,제3종일반주거지역,7996000,8398000,8965000,10060000,959090.7780094582,1943027.54165114,POINT (959090.7780094582 1943027.54165114),17717.0,18652.0,19903.0,11829.0,11344.0,10110.0,36381,11680,"POLYGON ((959035.230213883 1942965.54807064, 959035.230213883 1943065.54807064, 959135.230213883 1943065.54807064, 959135.230213883 1942965.54807064, 959035.230213883 1942965.54807064))"
1,1168011800109590020,서울특별시,11,강남구,도곡동,,959,20,남부순환로361길,116804166092,9,0,서울특별시 강남구 도곡동 959-20번지,서울특별시 강남구 남부순환로361길 9,127.037074636,37.485632679,천성빌딩,04000,제2종근린생활시설,"근린생활시설, 다세대주택",506.0,302.6,59.8,1388.74,252.89,18.4,6,0,1,0,20030918.0,일반주거지역,8885000,9331000,9845000,11050000,959074.0375926002,1943032.991403951,POINT (959074.0375926002 1943032.991403951),20282.0,23407.0,23576.0,15926.0,18720.0,17161.0,36381,11680,"POLYGON ((959035.230213883 1942965.54807064, 959035.230213883 1943065.54807064, 959135.230213883 1943065.54807064, 959135.230213883 1942965.54807064, 959035.230213883 1942965.54807064))"
2,1168011800109200002,서울특별시,11,강남구,도곡동,,920,2,남부순환로361길,116804166092,6,0,서울특별시 강남구 도곡동 920-2번지,서울특별시 강남구 남부순환로361길 6,127.037562986,37.48558619,,03000,제1종근린생활시설,근린생활시설,569.0,283.51,49.83,990.56,174.09,15.55,4,0,1,0,20120927.0,제3종일반주거지역,10320000,11140000,11810000,13280000,959117.1861895586,1943027.6215844376,POINT (959117.1861895586 1943027.6215844376),30576.0,21170.0,18836.0,20915.0,18064.0,17210.0,36381,11680,"POLYGON ((959035.230213883 1942965.54807064, 959035.230213883 1943065.54807064, 959135.230213883 1943065.54807064, 959135.230213883 1942965.54807064, 959035.230213883 1942965.54807064))"
3,1168011800109190011,서울특별시,11,강남구,도곡동,,919,11,남부순환로363길,116804166093,9,8,서울특별시 강남구 도곡동 919-11번지,서울특별시 강남구 남부순환로363길 9-8,127.037685365,37.485753733,,03000,제1종근린생활시설,근린생활시설,203.0,100.44,49.48,582.59,222.21,14.5,5,1,1,0,20051108.0,제3종일반주거지역,9006000,9717000,10190000,11310000,959128.096725813,1943046.15622537,POINT (959128.096725813 1943046.15622537),3312.0,5056.0,4137.0,3772.0,3681.0,3967.0,36381,11680,"POLYGON ((959035.230213883 1942965.54807064, 959035.230213883 1943065.54807064, 959135.230213883 1943065.54807064, 959135.230213883 1942965.54807064, 959035.230213883 1942965.54807064))"
4,1168011800109590016,서울특별시,11,강남구,도곡동,,959,16,남부순환로359길,116804166091,14,0,서울특별시 강남구 도곡동 959-16번지,서울특별시 강남구 남부순환로359길 14,127.036646181,37.485925056,,04000,제2종근린생활시설,"근린생활시설,다가구주택",192.0,94.92,49.44,575.15,229.58,17.2,6,1,1,0,20180125.0,제3종일반주거지역,9526000,10000000,10450000,11740000,959036.3184876485,1943065.6150175638,POINT (959036.3184876485 1943065.6150175638),3407.0,3906.0,7119.0,8802.0,8013.0,9328.0,36382,11680,"POLYGON ((959035.230213883 1943065.54807064, 959035.230213883 1943165.54807064, 959135.230213883 1943165.54807064, 959135.230213883 1943065.54807064, 959035.230213883 1943065.54807064))"
5,1168011800109240010,서울특별시,11,강남구,도곡동,,924,10,남부순환로363길,116804166093,15,0,서울특별시 강남구 도곡동 924-10번지,서울특별시 강남구 남부순환로363길 15,127.037755103,37.486267231,,04000,제2종근린생활시설,근린생활시설,283.0,169.38,59.85,660.34,176.37,13.25,4,1,0,0,19961101.0,일반주거지역,11140000,12020000,12610000,14180000,959134.5418061555,1943103.0951273984,POINT (959134.5418061555 1943103.0951273984),10434.0,15396.0,14412.0,7328.0,5975.0,7020.0,36382,11680,"POLYGON ((959035.230213883 1943065.54807064, 959035.230213883 1943165.54807064, 959135.230213883 1943165.54807064, 959135.230213883 1943065.54807064, 959035.230213883 1943065.54807064))"
6,1168011800109240002,서울특별시,11,강남구,도곡동,,924,2,남부순환로363길,116804166093,17,0,서울특별시 강남구 도곡동 924-2번지,서울특별시 강남구 남부순환로363길 17,127.037745925,37.486372727,,03000,제1종근린생활시설,"근린생활시설,주거시설",267.0,159.21,59.63,673.89,207.4,17.2,5,1,0,0,19970218.0,일반주거지역,11140000,12020000,12610000,14180000,959133.7878733623,1943114.803188868,POINT (959133.7878733623 1943114.803188868),5032.0,6568.0,6186.0,4065.0,2999.0,4286.0,36382,11680,"POLYGON ((959035.230213883 1943065.54807064, 959035.230213883 1943165.54807064, 959135.230213883 1943165.54807064, 959135.230213883 1943065.54807064, 959035.230213883 1943065.54807064))"
7,1168011800109590014,서울특별시,11,강남구,도곡동,,959,14,남부순환로359길,116804166091,18,0,서울특별시 강남구 도곡동 959-14번지,서울특별시 강남구 남부순환로359길 18,127.036532163,37.486084574,,04000,제2종근린생활시설,근린생활시설,142.0,81.0,57.04,228.0,160.56,11.72,3,0,0,0,19940804.0,일반주거지역,9160000,9620000,10150000,11400000,959026.3255721567,1943083.362091733,POINT (959026.3255721567 1943083.362091733),997.0,179.0,0.0,12177.0,12639.0,12409.0,36326,11680,"POLYGON ((958935.230213883 1943065.54807064, 958935.230213883 1943165.54807064, 959035.230213883 1943165.54807064, 959035.230213883 1943065.54807064, 958935.230213883 1943065.54807064))"
8,1168011800109590013,서울특별시,11,강남구,도곡동,,959,13,남부순환로359길,116804166091,20,0,서울특별시 강남구 도곡동 959-13번지,서울특별시 강남구 남부순환로359길 20,127.036480611,37.486158467,,03000,제1종근린생활시설,근린생활시설 주거시설,165.0,76.1,46.12,394.16,172.53,12.7,4,1,0,0,19911119.0,일반주거지역,9160000,9620000,10150000,11400000,959021.8083642247,1943091.582464794,POINT (959021.8083642247 1943091.582464794),10515.0,10315.0,10268.0,4370.0,4003.0,3965.0,36326,11680,"POLYGON ((958935.230213883 1943065.54807064, 958935.230213883 1943165.54807064, 959035.230213883 1943165.54807064, 959035.230213883 1943065.54807064, 958935.230213883 1943065.54807064))"
9,1168011800109590011,서울특별시,11,강남구,도곡동,,959,11,남부순환로359길,116804166091,24,0,서울특별시 강남구 도곡동 959-11번지,서울특별시 강남구 남부순환로359길 24,127.036327405,37.486368992,,04000,제2종근린생활시설,근린생활시설,185.0,110.09,59.51,448.59,207.72,12.0,4,1,0,0,19980801.0,일반주거지역,9343000,9620000,10150000,11400000,959008.3788900722,1943115.005506424,POINT (959008.3788900722 1943115.005506424),0.0,0.0,0.0,0.0,0.0,0.0,36326,11680,"POLYGON ((958935.230213883 1943065.54807064, 958935.230213883 1943165.54807064, 959035.230213883 1943165.54807064, 959035.230213883 1943065.54807064, 958935.230213883 1943065.54807064))"
