platplc_short,jijigu,approvyear,platarea_py,bdarea_py,tyyyymm,tyyyymm,totalprc,etcprc
서울특별시 중구 남대문로5,일반상업,84.11.29,6156.1,25064,202112,202112,112706778,"토:18,308 만"
서울특별시 중구 남대문로5,일반상업,20.07.08,2526,37925,202007,202007,93933417,"토:31,181 만
건:400 만"
서울특별시 중구 을지로6가,일반상업,99.10.14,2847,37082,202009,202009,80000000,"토:28,099 만"
서울특별시 강서구 가양동,준공업,00.02.28,6919,16060,202106,202106,68200000,"토:9,856 만"
서울특별시 종로구 평동,일반상업,20.06.17,1930,26083,202001,202001,65630000,"토:28,599 만
건:400 만"
서울특별시 영등포구 여의도,일반상업,95.05.24,1441,21167,202201,202201,63950000,"토:44,378 만"
서울특별시 종로구 종로2가,일반상업,99.09.02,1515,18332,20221,202210,62145141,"토:41,019 만"
서울특별시 구로구 오류동,2종일반,01.03.28,16646.2,121,202203,202203,55100000,"토:3,310 만"
서울특별시 중구 남대문로5,일반상업,02.01.03,1158,18153,202207,202207,49014025,"토:42,326 만"
서울특별시 강남구 대치동,일반상업,95.10.14,1089,13670,202211,202211,48112100,"토:44,180 만"
서울특별시 중구 남대문로5,일반상업,94.06.18,1847,17416,202303,202303,46153000,"토:24,988 만"
서울특별시 종로구 관철동,일반상업,70.06.05,695.9,12294.5,202105,202105,44200000,"토:63,597 만"
서울특별시 서초구 서초동,일반상업,99.05.25,538,9050,202206,202206,43000000,"토:79,925 만"
서울특별시 중구 남대문로5,일반상업,70.08.20,1199,9818,202212,202212,41581400,"토:34,680 만"
서울특별시 서초구 양재동,일반상업,12.07.09,1060,13338,202201,202201,40000000,"토:32,870 만
건:386 만"
서울특별시 강남구 역삼동,일반상업,01.08.31,693,10583,202007,202007,36050000,"토:52,020 만"
서울특별시 서초구 서초동,일반상업,79.04.04,605,2680,202007,202007,34000000,"토:56,198 만"
서울특별시 영등포구 여의도,일반상업,98.05.29,961,13570,202104,202104,33600000,"토:34,963 만"
서울특별시 강서구 등촌동,준공업,99.02.21,3156,2591.2,202205,202205,31250000,"토:9,901 만"
서울특별시 중구 남대문로5,일반상업,85.08.01,932,8439,202301,202301,30800000,"토:33,047 만"
서울특별시 중구 을지로2가,중심상업,87.09.00,827,8477,202203,202203,30600000,"토:37,001 만"
서울특별시 송파구 문정동,준주거,00.07.12,3282,22560,202304,202304,28500000,"토:8,683 만"
서울특별시 중구 을지로2가,일반상업,16.03.23,598,9327,202009,202009,27981400,"토:42,112 만
건:300 만"
서울특별시 강남구 도곡동,일반상업,02.12.04,817,12535,202004,202004,27130700,"토:33,207 만"
서울특별시 금천구 가산동,준공업,04.10.14,3194,17135,202201,202201,27044224,"토:8,467 만"
서울특별시 영등포구 여의도,일반상업,94.03.04,961,12233,20201,202010,26660000,"토:27,741 만"
서울특별시 중구 서소문동,일반상업,70.07.18,433,5742,202304,202304,26320000,"토:30,268 만"
서울특별시 강남구 역삼동,일반상업,97.08.28,398,6435,202205,202205,25818700,"토:64,871 만"
서울특별시 용산구 이태원동,2종일반,98.01.21,2120.8,99,202111,202111,25500000,"토:12,028 만"
서울특별시 중구 순화동,일반상업,07.01.02,826,10337,202001,202001,25200000,"토:26,672 만
건:306 만"
서울특별시 금천구 가산동,준공업,06.06.05,2653,1964,20221,202210,24500000,"토:9,131 만
건:140 만"
서울특별시 영등포구 여의도,일반상업,92.08.08,1285,11255,202211,202211,24500000,"토:19,066 만"
서울특별시 강남구 청담동,일반상업,94.09.26,634.6,4343.5,202212,202212,24000000,"토:37,854 만"
서울특별시 서대문구 미근동,일반상업,10.12.30,584,9115,202206,202206,22800000,"토:33,376 만
건:362 만"
