grid_idx,pp_pop,pp_od,bs_ebit,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry_grids
12334,-1.394316325372855,1.3595364939158825,1.9814668747769963,영등포구,서울특별시 영등포구 여의도동 28-1번지,126.920045279,37.521693217,948752.3648159652,1947091.0028736296,전경련회관,2.123428503871175,0.980057803736246,5.593351390611966,1.58098840689707,5.769689205924808,0.0187727628984135,4.13742380497327,8.352737291091655,3.677240680458603,-1.0495492531196242,5,"POLYGON ((126.91985315722555 37.521462836226604, 126.91984617815594 37.5223641532171, 126.92097780650128 37.52236970659521, 126.9209847719596 37.521468389425, 126.91985315722555 37.521462836226604))"
12375,-1.4543690044246147,1.3992570934552633,2.3808068116425645,영등포구,서울특별시 영등포구 여의도동 27-3번지,126.921853435,37.522682885,948912.8185643303,1947199.8175924127,하나증권빌딩,1.1541193260464422,0.9401707073538416,2.1709205877471573,0.2794705459741826,1.7890448116982,0.7697928505651326,1.7005181199432198,3.183694065331822,3.4822818000621494,0.848207733146123,3,"POLYGON ((126.92097780650128 37.52236970659521, 126.92097084073266 37.52327102362642, 126.92210248300019 37.52327656634215, 126.92210943515688 37.52237524913158, 126.92097780650128 37.52236970659521))"
12411,-1.4253435160643395,1.9446553247368183,2.3734423894194974,영등포구,서울특별시 영등포구 여의도동 27-1번지,126.922278542,37.522111722,948949.993757404,1947136.2193891653,한국투자증권빌딩,0.9511905520969652,0.9811746838008816,1.8709988212147977,0.1400222037324446,1.3700296123059257,-0.025691640965789,4.401925537542218,2.1101942788969685,3.4822818000621494,0.9480896797916888,7,"POLYGON ((126.92211638700392 37.52147393178201, 126.92210943515688 37.52237524913158, 126.92324106412218 37.52238078082618, 126.9232480023579 37.52147946329761, 126.92211638700392 37.52147393178201))"
12413,-1.6646416285703385,1.6286413008929017,2.8354870814025026,영등포구,서울특별시 영등포구 여의도동 23-5번지,126.922872797,37.524079207,949003.8444367223,1947354.1787809185,한화손해보험빌딩,0.3358410581406416,0.3104054731305326,1.7896224059752333,0.5583672304576585,1.7890448116982,-0.0723952285820079,1.5267017150173838,4.09360198566829,3.784209269702676,0.7483257865005574,7,"POLYGON ((126.92210248300019 37.52327656634215, 126.92209553053381 37.52417788341374, 126.92322718672352 37.52418341546637, 126.9232341255774 37.52328209821577, 126.92210248300019 37.52327656634215))"
12445,-1.6049221027126213,1.9099912872518965,2.828876525281084,영등포구,서울특별시 영등포구 여의도동 26번지,126.924285592,37.522945155,949127.9129796028,1947227.596891001,S-TRENUE,0.1714652010619718,0.3834783855075281,1.050565980526399,0.9767122571828724,0.5319992135213767,0.5888646606426386,1.2373498998915855,4.854093447507399,3.4822818000621494,-0.6500214665373617,7,"POLYGON ((126.92324106412218 37.52238078082618, 126.9232341255774 37.52328209821577, 126.92436576846366 37.523287619247284, 126.92437269339652 37.52238630167902, 126.92324106412218 37.52238078082618))"
12446,-1.696516253854034,1.702117462366869,3.098412862071819,영등포구,서울특별시 영등포구 여의도동 23-8번지,126.924126382,37.523880213,949114.4796179418,1947331.4225891707,"여의도파이낸스타워, 유화증권빌딩, 오투타워",1.5688718107887558,1.77295991777092,4.336575426237754,2.8825062678199576,1.3700296123059257,3.582124075474412,3.348131014530583,2.9637836879536623,3.3448329138829376,0.7150318042853689,8,"POLYGON ((126.9232341255774 37.52328209821577, 126.92322718672352 37.52418341546637, 126.92435884322235 37.524188936676545, 126.92436576846366 37.523287619247284, 126.9232341255774 37.52328209821577))"
12447,-1.8037097895093188,1.2792392742751748,3.375112518233456,영등포구,서울특별시 영등포구 여의도동 23-3번지,126.923718282,37.524540329,949078.8673271488,1947404.8797167065,"하이투자증권, 신한투자증권타워",1.3451850774445866,1.3769375151857972,4.022501695395356,1.906367872127792,2.103306211242406,-0.0309456874346351,3.941369009994361,3.317211080168563,3.36064816229268,0.7982667598233402,8,"POLYGON ((126.92322718672352 37.52418341546637, 126.9232202475606 37.52508473257798, 126.92435191767254 37.52509025396683, 126.92435884322235 37.524188936676545, 126.92322718672352 37.52418341546637))"
12453,-2.399608032560902,-0.5893165781447183,3.401073450046588,영등포구,서울특별시 영등포구 여의도동 11-17번지,126.923667668,37.530100196,949078.1746166212,1948021.7444427167,여의도순복음교회,0.425866495329346,-0.1890415746621633,-0.2139145012921283,-0.5107367267289992,0.1129840141291022,-0.2832599124752394,0.3301377887675907,0.2681575290116089,1.7966638695547557,-1.5489589863474524,8,"POLYGON ((126.92318554710899 37.52959131605106, 126.9231786060912 37.53049263232868, 126.92431035789473 37.53049815478963, 126.92431728529574 37.52959683833332, 126.92318554710899 37.52959131605106))"
12454,-2.4466183460104167,-0.2066014687603868,3.1939494499340406,영등포구,서울특별시 영등포구 여의도동 11-15번지,126.924136285,37.530564397,949119.8949545376,1948072.9914493973,여의도순복음교회,0.2504757612299406,0.4701710297838308,0.7649608927336752,-0.2318400422455232,0.9510144129136512,0.3900508565784407,0.174802930675535,0.4769574517835557,1.0392572457136646,0.7483257865005574,8,"POLYGON ((126.9231786060912 37.53049263232868, 126.92317166476421 37.5313939484673, 126.92430343018515 37.53139947110696, 126.92431035789473 37.53049815478963, 126.9231786060912 37.53049263232868))"
12474,-1.569009505320952,1.7889101287123677,3.024418400402781,영등포구,서울특별시 영등포구 여의도동 26-4번지,126.924585875,37.522516001,949154.1559932168,1947179.822247453,교보증권빌딩,0.4904729855471221,0.4592555954484332,1.0881949919674268,0.0470566422379526,1.3700296123059257,-0.1872342850466637,1.591204591287501,1.9672908455135991,5.466376600557035,1.946909146247345,8,"POLYGON ((126.92437269339652 37.52238630167902, 126.92436576846366 37.523287619247284, 126.9254974116584 37.523293129436645, 126.9255043229793 37.52239181169009, 126.92437269339652 37.52238630167902))"
12475,-1.7796442903708325,1.3140428821840686,3.3421620809551125,영등포구,서울특별시 영등포구 여의도동 25-11번지,126.925444605,37.523491797,949230.698646439,1947287.6176513208,"(주)유수홀딩스, 현대차증권빌딩",0.2233622177942837,0.1361153048959309,1.1147282404693584,0.2794705459741826,0.5319992135213767,-0.1849843874967909,0.9827020800190882,1.265799728824728,3.034566495080912,-0.2005527066323162,8,"POLYGON ((126.92436576846366 37.523287619247284, 126.92435884322235 37.524188936676545, 126.92549050002962 37.52419444704424, 126.9254974116584 37.523293129436645, 126.92436576846366 37.523287619247284))"
